TCGA-CN-5369-01A-01R-1436-07	-31.209053	15.615042
TCGA-CN-5370-01A-01R-2016-07	8.605898	29.515919
TCGA-CN-5373-01A-01R-1436-07	0.40114936	30.909092
TCGA-CN-5374-01A-01R-1436-07	3.1056674	-37.21424
TCGA-CN-6010-01A-11R-1686-07	23.264244	-14.313555
TCGA-CN-6011-01A-11R-1686-07	-26.525024	35.06235
TCGA-CN-6012-01A-11R-1686-07	24.564322	-13.593296
TCGA-CN-6013-01A-11R-1686-07	-0.49531388	29.603848
TCGA-CN-6016-01A-11R-1686-07	13.595478	28.639477
TCGA-CN-6017-01A-11R-1686-07	11.560459	29.915009
TCGA-CN-6018-01A-11R-1686-07	11.355715	25.622683
TCGA-CN-6019-01A-11R-1686-07	23.915186	12.742694
TCGA-CN-6020-01A-11R-1686-07	-18.890648	18.814312
TCGA-CN-6021-01A-11R-1686-07	17.699856	-14.247519
TCGA-CN-6022-01A-21R-1686-07	20.42533	24.714245
TCGA-CN-6023-01A-11R-1686-07	30.283272	-6.6964912
TCGA-CN-6024-01A-11R-1686-07	30.167177	3.5016565
TCGA-CN-6988-01A-11R-1915-07	1.670471	-21.352509
TCGA-CN-6989-01A-11R-1915-07	23.701147	10.064455
TCGA-CN-6992-01A-11R-1915-07	19.494164	-10.8009405
TCGA-CN-6994-01A-11R-1915-07	-5.3230133	27.797258
TCGA-CN-6995-01A-31R-2016-07	-0.76297337	17.282114
TCGA-CN-6996-01A-11R-1915-07	9.691084	32.482944
TCGA-CN-6997-01A-11R-2016-07	21.650293	-7.8062305
TCGA-CN-6998-01A-23R-2016-07	-6.462443	38.151688
TCGA-CN-A497-01A-11R-A24H-07	14.01342	-9.994462
TCGA-CN-A498-01A-11R-A24H-07	-18.551977	25.8339
TCGA-CN-A499-01A-11R-A24H-07	-26.104961	32.432766
TCGA-CN-A49A-01A-11R-A24H-07	13.606131	13.502044
TCGA-CN-A49B-01A-31R-A24H-07	-14.070244	-23.268492
TCGA-CN-A49C-01A-11R-A24H-07	9.422278	-31.642197
TCGA-CN-A63T-01A-11R-A28V-07	-9.131053	-19.151781
TCGA-CN-A63U-01A-11R-A30B-07	12.989505	-8.242258
TCGA-CN-A63V-01A-11R-A466-07	-25.035065	-18.27109
TCGA-CN-A63W-01A-11R-A30B-07	-6.182894	-16.843143
TCGA-CN-A641-01A-11R-A30B-07	-1.5676196	-19.721245
TCGA-CN-A642-01A-12R-A30B-07	-9.308379	-1.7616054
TCGA-CN-A6UY-01A-12R-A34R-07	6.4658556	-43.687195
TCGA-CN-A6V1-01A-12R-A34R-07	4.201169	-40.157925
TCGA-CN-A6V3-01A-12R-A34R-07	-16.640434	-19.072344
TCGA-CN-A6V6-01A-12R-A34R-07	8.139354	-34.867138
TCGA-CN-A6V7-01A-12R-A34R-07	10.854371	-31.786556
TCGA-CQ-5323-01A-01R-1686-07	12.422874	-22.23623
TCGA-CQ-5324-01A-01R-1686-07	-33.305126	8.561824
TCGA-CQ-5325-01A-01R-1686-07	13.15189	33.116337
TCGA-CQ-5326-01A-01R-1873-07	-14.22575	32.52578
TCGA-CQ-5327-01A-01R-1686-07	-31.726292	-10.966522
TCGA-CQ-5329-01A-01R-1686-07	12.601824	21.0193
TCGA-CQ-5330-01A-01R-1686-07	15.73631	24.53259
TCGA-CQ-5331-01A-02R-1873-07	-32.432636	18.504938
TCGA-CQ-5332-01A-01R-1686-07	21.738958	-4.4893394
TCGA-CQ-5333-01A-01R-2403-07	-4.018922	-0.40976828
TCGA-CQ-5334-01A-01R-1686-07	-7.9501095	22.486427
TCGA-CQ-6218-01A-11R-1915-07	-31.095112	11.584802
TCGA-CQ-6219-01A-11R-1915-07	-4.446037	7.397757
TCGA-CQ-6220-01A-11R-1915-07	-9.088192	41.216446
TCGA-CQ-6221-01A-11R-2081-07	10.348113	8.909044
TCGA-CQ-6222-01A-11R-1915-07	-23.448797	-35.447292
TCGA-CQ-6223-01A-11R-1915-07	-19.211264	9.443334
TCGA-CQ-6224-01A-11R-1915-07	16.363293	23.689472
TCGA-CQ-6225-01A-11R-1915-07	-0.676116	-15.619624
TCGA-CQ-6227-01A-11R-1915-07	12.998916	40.655617
TCGA-CQ-6228-01A-11R-1915-07	29.215397	-2.2233572
TCGA-CQ-6229-01A-11R-1915-07	-0.5036049	37.89943
TCGA-CQ-7063-01A-11R-2403-07	-33.90578	16.565493
TCGA-CQ-7065-01A-11R-2081-07	-11.437974	43.062447
TCGA-CQ-7068-01A-11R-2081-07	-37.94531	15.533922
TCGA-CQ-7069-01A-11R-2403-07	-10.957754	29.733257
TCGA-CQ-7071-01A-12R-A30B-07	-23.764204	15.715076
TCGA-CQ-7072-01A-21R-A30B-07	12.697532	12.089777
TCGA-CQ-A4C6-01A-11R-A24Z-07	-3.6218977	38.165054
TCGA-CQ-A4C7-01A-11R-A24Z-07	14.819961	24.59652
TCGA-CQ-A4C9-01A-11R-A24Z-07	1.2870107	-23.823612
TCGA-CQ-A4CB-01A-11R-A24Z-07	2.101382	11.713944
TCGA-CQ-A4CD-01A-21R-A24Z-07	-14.061579	-1.6653073
TCGA-CQ-A4CE-01A-11R-A266-07	-22.470854	8.893332
TCGA-CQ-A4CG-01A-11R-A266-07	-13.678515	25.191376
TCGA-CQ-A4CH-01A-11R-A266-07	-10.59666	32.34588
TCGA-CQ-A4CI-01A-11R-A266-07	23.33099	-6.6694484
TCGA-CR-5243-01A-01R-1514-07	22.48668	-30.094193
TCGA-CR-5247-01A-01R-2016-07	17.788317	2.9896793
TCGA-CR-5248-01A-01R-2016-07	12.938826	-33.014732
TCGA-CR-5249-01A-01R-1514-07	12.938295	-28.44771
TCGA-CR-5250-01A-01R-1514-07	21.14874	-29.295412
TCGA-CR-6467-01A-11R-1873-07	20.851904	-35.718952
TCGA-CR-6470-01A-11R-1873-07	23.987461	-32.78699
TCGA-CR-6471-01A-11R-1873-07	-26.910097	24.108723
TCGA-CR-6472-01A-11R-1873-07	17.042477	-33.900333
TCGA-CR-6473-01A-11R-1873-07	18.443731	-36.02565
TCGA-CR-6474-01A-11R-1873-07	16.878014	20.365131
TCGA-CR-6477-01A-11R-1873-07	-7.75228	28.658157
TCGA-CR-6478-01A-11R-1873-07	3.874754	11.010294
TCGA-CR-6480-01A-11R-1873-07	12.289975	-27.066208
TCGA-CR-6481-01A-11R-1873-07	13.795221	-31.992992
TCGA-CR-6482-01A-11R-1873-07	26.542068	-33.678177
TCGA-CR-6484-01A-11R-1873-07	-0.16963159	25.53674
TCGA-CR-6487-01A-11R-1873-07	24.850481	-33.71837
TCGA-CR-6488-01A-12R-2081-07	6.5682425	38.24769
TCGA-CR-6491-01A-11R-1873-07	-25.604834	14.873079
TCGA-CR-6492-01A-12R-2081-07	-31.15212	12.994703
TCGA-CR-6493-01A-11R-1873-07	-16.820673	35.668915
TCGA-CR-7364-01A-11R-2016-07	6.2882347	-22.008844
TCGA-CR-7365-01A-11R-2016-07	5.281616	41.7094
TCGA-CR-7367-01A-11R-2016-07	-3.3553855	24.916512
TCGA-CR-7368-01A-11R-2132-07	13.876648	-23.707676
TCGA-CR-7369-01A-11R-2132-07	14.579726	-23.156878
TCGA-CR-7370-01A-11R-2132-07	21.727694	-13.512744
TCGA-CR-7371-01A-11R-2016-07	22.815979	-17.416826
TCGA-CR-7372-01A-11R-2016-07	5.9709954	39.803974
TCGA-CR-7373-01A-11R-2016-07	-20.814747	31.519075
TCGA-CR-7374-01A-11R-2016-07	19.861097	-12.27617
TCGA-CR-7376-01A-11R-2132-07	7.795901	28.479662
TCGA-CR-7377-01A-11R-2016-07	5.4632254	32.552658
TCGA-CR-7379-01A-11R-2016-07	6.2892203	43.44297
TCGA-CR-7380-01A-11R-2016-07	-6.727013	28.206608
TCGA-CR-7382-01A-11R-2132-07	8.585085	27.110514
TCGA-CR-7383-01A-11R-2132-07	17.894632	23.61639
TCGA-CR-7385-01A-11R-2016-07	10.6871195	-30.452303
TCGA-CR-7386-01A-11R-2016-07	2.9310584	25.78467
TCGA-CR-7388-01A-11R-2016-07	21.4176	-17.965046
TCGA-CR-7389-01A-11R-2016-07	21.489447	-20.134697
TCGA-CR-7390-01A-11R-2016-07	14.597951	-2.0305462
TCGA-CR-7391-01A-11R-2016-07	3.522055	31.62354
TCGA-CR-7392-01A-11R-2016-07	3.3695884	28.113491
TCGA-CR-7394-01A-11R-2016-07	1.870066	30.57584
TCGA-CR-7395-01A-11R-2016-07	-30.848686	17.969233
TCGA-CR-7397-01A-11R-2016-07	4.191267	32.42561
TCGA-CR-7398-01A-11R-2016-07	15.108771	-10.230175
TCGA-CR-7399-01A-11R-2016-07	23.46226	-40.862656
TCGA-CR-7401-01A-11R-2016-07	3.1483982	35.49793
TCGA-CR-7402-01A-11R-2016-07	17.978691	-24.285517
TCGA-CR-7404-01A-11R-2132-07	13.240079	-29.375349
TCGA-CV-5430-01A-02R-1686-07	24.697445	-35.673355
TCGA-CV-5432-01A-02R-1686-07	24.45988	-9.133665
TCGA-CV-5434-01A-01R-1686-07	25.185883	9.143679
TCGA-CV-5435-01A-01R-1686-07	23.17194	8.455752
TCGA-CV-5436-01A-01R-1514-07	-24.337696	36.796825
TCGA-CV-5439-01A-01R-1686-07	-22.188324	3.6822472
TCGA-CV-5440-01A-01R-1514-07	32.172035	4.77885
TCGA-CV-5441-01A-01R-1514-07	-37.570953	-15.4656315
TCGA-CV-5442-01A-01R-1514-07	-26.026474	4.959803
