Samples	SBS96A	SBS96B	SBS96C
TCGA-CR-7364	40	379	108
TCGA-CR-7365	140	39	20
TCGA-CR-7367	21	67	90
TCGA-CR-7368	134	21	54
TCGA-CR-7369	13	35	34
TCGA-CR-7370	91	453	71
TCGA-CR-7371	114	160	33
TCGA-CR-7372	0	12	38
TCGA-CR-7373	65	11	49
TCGA-CR-7374	108	209	45
TCGA-CR-7376	12	0	25
TCGA-CR-7377	23	20	75
TCGA-CR-7379	20	25	107
TCGA-CR-7380	5	1	89
TCGA-CR-7382	22	0	49
TCGA-CR-7383	9	54	70
TCGA-CR-7385	17	8	16
TCGA-CR-7386	161	3	24
TCGA-CR-7388	244	425	30
TCGA-CR-7389	0	29	59
TCGA-CR-7390	53	39	62
TCGA-CR-7391	0	0	2
TCGA-CR-7392	2	0	5
TCGA-CR-7394	54	0	71
TCGA-CR-7395	97	0	51
TCGA-CR-7397	9	1	22
TCGA-CR-7398	61	280	60
TCGA-CR-7399	56	196	66
TCGA-CR-7401	11	10	78
TCGA-CR-7404	76	0	39
TCGA-CV-5430	80	35	41
TCGA-CV-5432	25	235	57
TCGA-CV-5434	16	55	83
TCGA-CV-5435	20	57	51
TCGA-CV-5436	35	27	49
TCGA-CV-5439	10	91	19
TCGA-CV-5440	57	40	29
TCGA-CV-5441	20	347	74
TCGA-CV-5442	205	0	89
TCGA-CV-5443	6	14	37
TCGA-CV-5444	78	12	40
TCGA-CV-5966	34	35	59
TCGA-CV-5970	80	0	129
TCGA-CV-5971	1	0	8
TCGA-CV-5973	4	2	57
TCGA-CV-5976	25	13	47
TCGA-CV-5977	28	12	58
TCGA-CV-5978	17	121	47
TCGA-CV-5979	1	4	25
TCGA-CV-6003	24	5	67
TCGA-CV-6433	4	8	36
TCGA-CV-6436	15	7	67
TCGA-CV-6441	152	67	42
TCGA-CV-6933	27	46	48
TCGA-CV-6934	7	39	52
TCGA-CV-6935	59	167	23
TCGA-CV-6936	182	30	74
TCGA-CV-6937	32	37	63
TCGA-CV-6938	17	11	98
TCGA-CV-6939	3	14	15
TCGA-CV-6940	70	31	46
TCGA-CV-6941	14	55	94
TCGA-CV-6942	172	29	63
TCGA-CV-6943	28	0	12
TCGA-CV-6945	22	74	59
TCGA-CV-6948	76	68	68
TCGA-CV-6950	4	27	30
TCGA-CV-6951	55	43	51
TCGA-CV-6952	67	42	81
TCGA-CV-6953	33	18	75
TCGA-CV-6954	26	45	47
TCGA-CV-6955	16	18	51
TCGA-CV-6956	48	90	88
TCGA-CV-6959	3	20	46
TCGA-CV-6960	26	139	32
TCGA-CV-6961	626	22	0
TCGA-CV-6962	5	84	67
TCGA-CV-7089	130	26	12
TCGA-CV-7090	13	7	31
TCGA-CV-7091	30	51	56
TCGA-CV-7095	122	19	122
TCGA-CV-7097	16	16	55
TCGA-CV-7099	226	9	64
TCGA-CV-7100	2	1	11
TCGA-CV-7101	36	75	72
TCGA-CV-7102	78	38	52
TCGA-CV-7103	14	13	19
TCGA-CV-7104	34	34	48
TCGA-CV-7177	32	33	35
TCGA-CV-7178	33	26	75
TCGA-CV-7180	8	17	34
TCGA-CV-7183	8	21	36
TCGA-CV-7235	42	47	56
TCGA-CV-7236	0	2	45
TCGA-CV-7238	8	0	39
TCGA-CV-7242	34	255	57
TCGA-CV-7243	18	0	56
TCGA-CV-7245	47	449	103
TCGA-CV-7247	18	20	23
TCGA-CV-7248	45	251	16
TCGA-CV-7250	12	96	102
TCGA-CV-7252	91	27	138
TCGA-CV-7253	8	87	95
TCGA-CV-7254	28	208	41
TCGA-CV-7255	11	27	69
TCGA-CV-7261	20	36	58
TCGA-CV-7263	11	28	88
TCGA-CV-7406	168	0	57
TCGA-CV-7407	18	32	62
TCGA-CV-7410	17	4	0
TCGA-CV-7411	39	48	34
TCGA-CV-7413	18	12	50
TCGA-CV-7414	147	38	71
TCGA-CV-7415	35	15	28
TCGA-CV-7416	18	0	57
TCGA-CV-7418	31	82	60
TCGA-CV-7421	21	16	27
TCGA-CV-7422	30	51	57
TCGA-CV-7423	10	18	45
TCGA-CV-7424	55	54	86
TCGA-CV-7425	25	22	73
TCGA-CV-7427	506	0	0
TCGA-CV-7429	11	15	31
TCGA-CV-7430	16	51	59
TCGA-CV-7432	21	89	71
TCGA-CV-7433	38	41	24
TCGA-CV-7434	6	51	54
TCGA-CV-7435	22	35	28
TCGA-CV-7437	31	26	78
TCGA-CV-7438	30	15	57
TCGA-CV-7440	32	141	50
TCGA-CV-7446	58	61	47
TCGA-CV-A45O	104	0	41
TCGA-CV-A45P	118	16	47
TCGA-CV-A45Q	184	40	100
TCGA-CV-A45R	5	0	93
TCGA-CV-A45T	0	0	9
TCGA-CV-A45U	112	56	52
TCGA-CV-A45V	34	17	68
TCGA-CV-A45W	60	424	70
TCGA-CV-A45X	21	44	50
TCGA-CV-A45Y	6	16	19
TCGA-CV-A45Z	57	559	35
TCGA-CV-A460	11	19	43
TCGA-CV-A461	67	555	66
TCGA-CV-A463	124	12	115
TCGA-CV-A464	4	9	12
TCGA-CV-A465	8	5	23
TCGA-CV-A468	21	0	137
TCGA-CV-A6JD	5	11	83
TCGA-CV-A6JE	74	46	34
TCGA-CV-A6JM	244	32	66
TCGA-CV-A6JN	8	25	56
TCGA-CV-A6JO	0	5	60
TCGA-CV-A6JT	10	2	47
TCGA-CV-A6JU	9	79	52
TCGA-CV-A6JY	5	22	59
TCGA-CV-A6JZ	10	46	51
TCGA-CV-A6K0	1	0	6
TCGA-CV-A6K1	74	160	299
TCGA-CV-A6K2	773	0	0
TCGA-CX-7082	18	42	45
TCGA-CX-7085	63	0	19
TCGA-CX-7086	86	89	76
TCGA-CX-7219	43	27	58
TCGA-CX-A4AQ	26	28	58
TCGA-D6-6515	8	0	31
TCGA-D6-6517	8	31	36
TCGA-D6-6823	15	57	40
TCGA-D6-6824	1	14	3
TCGA-D6-6825	12	20	50
TCGA-D6-6826	34	16	59
TCGA-D6-6827	0	2	10
TCGA-D6-8568	21	44	45
TCGA-D6-8569	4	73	68
TCGA-D6-A4Z9	8	51	47
TCGA-D6-A4ZB	53	40	26
TCGA-D6-A6EK	15	99	72
TCGA-D6-A6EM	9	26	65
TCGA-D6-A6EN	23	20	66
TCGA-D6-A6EO	13	39	45
TCGA-D6-A6EP	31	85	33
TCGA-D6-A6EQ	29	36	36
TCGA-D6-A6ES	161	33	41
TCGA-D6-A74Q	127	283	67
TCGA-DQ-5624	52	0	31
TCGA-DQ-5625	128	22	60
TCGA-DQ-5629	46	250	83
TCGA-DQ-5630	4	9	44
TCGA-DQ-5631	18	14	69
TCGA-DQ-7588	49	40	26
TCGA-DQ-7591	8	6	26
TCGA-DQ-7592	10	23	51
TCGA-DQ-7593	0	3	20
TCGA-DQ-7596	1	0	17
TCGA-F7-7848	28	303	39
TCGA-F7-8298	59	22	30
TCGA-F7-8489	44	34	42
TCGA-F7-A50G	40	1	71
TCGA-F7-A50I	19	74	58
TCGA-F7-A50J	87	18	70
TCGA-F7-A61S	9	25	88
TCGA-F7-A61V	37	48	29
TCGA-F7-A61W	4	39	31
TCGA-F7-A620	8	11	37
TCGA-F7-A622	0	9	54
TCGA-F7-A623	55	53	95
TCGA-H7-7774	13	24	103
TCGA-H7-8501	127	0	47
TCGA-H7-A6C4	0	0	31
TCGA-H7-A6C5	8	48	61
TCGA-H7-A76A	68	0	14
TCGA-HD-7229	30	49	82
TCGA-HD-7753	10	68	25
TCGA-HD-7754	6	0	63
TCGA-HD-7831	3	8	25
TCGA-HD-7832	32	25	59
TCGA-HD-8224	8	22	43
TCGA-HD-8314	52	6	19
TCGA-HD-8634	17	11	35
TCGA-HD-8635	110	80	46
TCGA-HD-A4C1	116	17	95
TCGA-HD-A633	73	35	46
TCGA-HD-A634	3	14	27
