Samples	SBS96A	SBS96B	SBS96C
TCGA-MT-A7BN	4.30E-01	5.98E-01	6.63E-01
TCGA-MZ-A5BI	3.05E-01	3.20E-01	4.25E-01
TCGA-MZ-A6I9	3.49E-01	3.82E-01	4.42E-01
TCGA-MZ-A7D7	7.02E-01	1.14E+00	1.09E+00
TCGA-P3-A5Q5	1.14E+00	6.50E-01	1.21E+00
TCGA-P3-A5Q6	5.87E-01	1.09E+00	1.20E+00
TCGA-P3-A5QA	2.00E-01	6.17E-01	5.78E-01
TCGA-P3-A5QE	4.03E-01	4.09E-01	5.35E-01
TCGA-P3-A5QF	9.76E-01	7.00E-02	9.80E-01
TCGA-P3-A6SW	5.90E-01	5.40E-01	6.32E-01
TCGA-P3-A6SX	7.21E-01	1.26E+00	1.13E+00
TCGA-P3-A6T0	4.51E-01	5.92E-01	7.32E-01
TCGA-P3-A6T2	5.80E-01	6.62E-01	7.51E-01
TCGA-P3-A6T3	6.39E-01	4.39E-01	6.30E-01
TCGA-P3-A6T4	8.70E-01	9.68E-01	1.02E+00
TCGA-P3-A6T5	1.08E+00	9.40E-01	1.43E+00
TCGA-P3-A6T6	8.24E-01	1.04E+00	1.02E+00
TCGA-P3-A6T7	7.42E-01	9.42E-01	1.04E+00
TCGA-P3-A6T8	4.11E-01	9.02E-01	8.65E-01
TCGA-QK-A64Z	7.08E-01	4.98E-01	7.21E-01
TCGA-QK-A652	2.59E-01	5.47E-01	5.62E-01
TCGA-QK-A6IF	2.69E-01	1.97E-01	3.40E-01
TCGA-QK-A6IG	6.39E-01	5.26E-01	6.77E-01
TCGA-QK-A6IH	6.52E-01	6.34E-01	7.92E-01
TCGA-QK-A6II	8.29E-01	9.71E-01	1.03E+00
TCGA-QK-A6IJ	7.19E-02	5.45E-01	5.59E-01
TCGA-QK-A6V9	5.38E-01	4.19E-01	5.91E-01
TCGA-QK-A6VB	2.95E-01	1.97E+00	1.97E+00
TCGA-QK-A6VC	9.39E-01	9.14E-01	1.03E+00
TCGA-QK-A8Z7	4.33E-01	1.11E+00	1.15E+00
TCGA-QK-A8Z8	8.80E-01	1.68E+00	1.73E+00
TCGA-QK-A8Z9	7.13E-01	9.85E-01	9.99E-01
TCGA-QK-A8ZA	7.47E-01	9.40E-01	9.55E-01
TCGA-QK-A8ZB	7.50E-01	8.62E-01	1.06E+00
TCGA-QK-AA3J	8.45E-01	9.79E-01	1.11E+00
TCGA-QK-AA3K	5.37E-01	8.63E-01	1.01E+00
TCGA-RS-A6TO	1.04E+00	9.46E-01	1.19E+00
TCGA-RS-A6TP	7.57E-01	2.91E-01	7.79E-01
TCGA-T2-A6WX	9.57E-01	5.86E-01	9.59E-01
TCGA-T2-A6WZ	5.62E-01	8.42E-01	9.27E-01
TCGA-T2-A6X0	2.78E-01	3.93E-01	4.62E-01
TCGA-T2-A6X2	1.10E+00	8.72E-01	1.18E+00
TCGA-T3-A92M	1.29E+00	1.17E+00	1.24E+00
TCGA-T3-A92N	9.49E-01	9.74E-01	1.24E+00
TCGA-TN-A7HI	4.59E-01	4.35E-01	5.90E-01
TCGA-TN-A7HJ	6.80E-01	6.49E-01	8.44E-01
TCGA-TN-A7HL	1.16E+00	7.41E-01	1.02E+00
TCGA-UF-A718	2.52E-01	6.22E-01	5.70E-01
TCGA-UF-A719	3.06E-01	9.86E-01	9.52E-01
TCGA-UF-A71A	7.51E-01	1.29E+00	1.33E+00
TCGA-UF-A71B	6.85E-01	1.06E+00	1.13E+00
TCGA-UF-A71D	1.14E+00	2.08E+00	2.22E+00
TCGA-UF-A71E	6.11E-01	1.09E+00	1.21E+00
TCGA-UF-A7J9	1.16E+00	1.45E+00	1.48E+00
TCGA-UF-A7JA	8.67E-01	1.38E+00	1.19E+00
TCGA-UF-A7JC	4.37E-01	6.41E-01	6.70E-01
TCGA-UF-A7JD	3.43E-01	9.21E-01	9.20E-01
TCGA-UF-A7JF	6.82E-01	1.05E+00	1.01E+00
TCGA-UF-A7JH	5.02E-01	6.60E-01	6.90E-01
TCGA-UF-A7JJ	1.99E-01	5.34E-01	5.40E-01
TCGA-UF-A7JK	3.46E-01	7.84E-01	8.54E-01
TCGA-UF-A7JO	8.75E-01	6.76E-01	1.05E+00
TCGA-UF-A7JS	6.16E-01	7.43E-01	7.25E-01
TCGA-UF-A7JT	1.27E+00	7.25E-01	1.11E+00
TCGA-UF-A7JV	5.77E-01	6.12E-01	7.52E-01
TCGA-UP-A6WW	1.99E-01	4.64E-01	4.85E-01
TCGA-WA-A7GZ	8.14E-01	1.09E+00	1.25E+00
TCGA-WA-A7H4	4.02E-01	5.43E-01	6.11E-01
