Samples	SBS96A	SBS96B	SBS96C
TCGA-CN-6989	6.30E-01	7.35E-01	9.48E-01
TCGA-CN-6992	9.29E-01	1.61E+00	1.58E+00
TCGA-CN-6994	8.13E-01	7.81E-01	8.86E-01
TCGA-CN-6995	7.22E-01	1.29E+00	1.45E+00
TCGA-CN-6996	4.94E-01	4.10E-01	6.26E-01
TCGA-CN-6997	7.22E-01	1.15E+00	1.16E+00
TCGA-CN-6998	6.47E-01	3.81E-01	6.60E-01
TCGA-CN-A497	7.30E-01	1.64E+00	1.67E+00
TCGA-CN-A498	6.68E-01	9.34E-01	9.69E-01
TCGA-CN-A499	1.99E-01	1.88E-01	2.63E-01
TCGA-CN-A49A	8.27E-01	8.01E-01	9.09E-01
TCGA-CN-A49B	7.62E-01	6.87E-01	9.64E-01
TCGA-CN-A49C	4.06E-01	1.25E-01	4.36E-01
TCGA-CN-A63T	8.67E-01	1.34E+00	1.45E+00
TCGA-CN-A63U	8.66E-01	2.38E+00	2.27E+00
TCGA-CN-A63V	3.90E-01	8.24E-01	8.71E-01
TCGA-CN-A63W	1.02E+00	1.86E+00	1.77E+00
TCGA-CN-A641	7.19E-01	1.38E+00	1.38E+00
TCGA-CN-A642	5.06E-01	2.90E-01	5.48E-01
TCGA-CN-A6UY	4.05E-01	5.49E-01	6.01E-01
TCGA-CN-A6V1	6.51E-01	2.20E-01	6.78E-01
TCGA-CN-A6V3	7.19E-01	1.13E+00	1.15E+00
TCGA-CN-A6V6	5.65E-01	5.59E-01	7.76E-01
TCGA-CN-A6V7	5.49E-01	2.15E-01	6.00E-01
TCGA-CQ-5323	2.71E-01	4.74E-01	5.44E-01
TCGA-CQ-5324	5.06E-01	3.46E-01	5.79E-01
TCGA-CQ-5325	3.36E-01	7.14E-01	7.09E-01
TCGA-CQ-5326	1.02E+00	7.78E-01	1.16E+00
TCGA-CQ-5327	1.06E+00	4.30E-01	1.13E+00
TCGA-CQ-5329	7.02E-02	3.38E-01	3.60E-01
TCGA-CQ-5330	2.32E-01	3.48E-01	4.34E-01
TCGA-CQ-5331	8.03E-01	7.76E-01	7.67E-01
TCGA-CQ-5332	5.96E-01	1.07E+00	1.21E+00
TCGA-CQ-5333	1.10E+00	7.73E-01	1.11E+00
TCGA-CQ-5334	1.01E+00	7.60E-01	1.08E+00
TCGA-CQ-6218	8.49E-01	8.81E-01	1.07E+00
TCGA-CQ-6219	4.53E-01	4.60E-01	5.48E-01
TCGA-CQ-6220	7.12E-01	5.87E-01	8.16E-01
TCGA-CQ-6221	7.47E-01	8.21E-01	7.93E-01
TCGA-CQ-6222	2.64E-01	3.89E-01	4.56E-01
TCGA-CQ-6223	3.55E-01	7.12E-01	6.95E-01
TCGA-CQ-6224	4.00E-01	2.62E-01	4.58E-01
TCGA-CQ-6225	6.66E-01	1.14E+00	1.13E+00
TCGA-CQ-6227	3.81E-01	4.66E-01	5.63E-01
TCGA-CQ-6228	4.57E-01	9.12E-01	9.31E-01
TCGA-CQ-6229	7.43E-02	3.01E-01	2.94E-01
TCGA-CQ-7063	9.06E-01	4.14E-01	8.39E-01
TCGA-CQ-7065	2.91E-01	2.84E-01	3.82E-01
TCGA-CQ-7068	7.82E-01	5.79E-01	8.76E-01
TCGA-CQ-7069	6.59E-01	3.51E-01	6.48E-01
TCGA-CQ-7071	1.40E+00	1.09E+00	1.21E+00
TCGA-CQ-7072	4.00E-01	1.08E+00	1.14E+00
TCGA-CQ-A4C6	9.12E-01	4.81E-01	8.81E-01
TCGA-CQ-A4C7	3.88E-01	5.05E-01	6.08E-01
TCGA-CQ-A4C9	6.25E-01	5.83E-01	7.07E-01
TCGA-CQ-A4CB	6.44E-01	6.76E-01	8.32E-01
TCGA-CQ-A4CD	8.82E-01	6.64E-01	1.02E+00
TCGA-CQ-A4CE	3.91E-01	3.83E-01	5.29E-01
TCGA-CQ-A4CG	4.64E-01	8.44E-01	9.96E-01
TCGA-CQ-A4CH	0.00E+00	1.10E-01	1.10E-01
TCGA-CQ-A4CI	5.12E-01	8.25E-01	8.83E-01
TCGA-CR-5243	6.07E-01	5.59E-01	7.29E-01
TCGA-CR-5247	2.96E-01	7.18E-01	7.37E-01
TCGA-CR-5248	1.34E+00	6.53E-01	1.42E+00
TCGA-CR-5249	3.16E-01	2.92E-01	3.89E-01
TCGA-CR-5250	3.24E-01	5.64E-01	6.43E-01
TCGA-CR-6467	3.77E-01	4.49E-01	5.37E-01
TCGA-CR-6470	3.10E-01	0.00E+00	3.11E-01
TCGA-CR-6471	6.35E-01	9.52E-01	1.05E+00
TCGA-CR-6472	9.16E-01	9.13E-01	2.53E-01
TCGA-CR-6473	6.83E-01	5.61E-01	8.66E-01
TCGA-CR-6474	5.85E-01	9.26E-01	8.41E-01
TCGA-CR-6477	4.30E-01	6.61E-01	7.09E-01
TCGA-CR-6478	8.16E-01	6.87E-01	1.08E+00
TCGA-CR-6480	8.27E-01	4.13E-01	7.89E-01
TCGA-CR-6481	1.17E+00	6.51E-01	9.45E-01
TCGA-CR-6482	4.12E-01	4.30E-01	5.81E-01
TCGA-CR-6484	1.15E+00	5.12E-01	1.05E+00
TCGA-CR-6487	7.75E-01	3.75E-01	8.75E-01
TCGA-CR-6488	1.75E-01	4.24E-01	4.41E-01
TCGA-CR-6491	4.47E-01	1.14E+00	1.15E+00
TCGA-CR-6492	4.14E-01	4.28E-01	5.36E-01
TCGA-CR-6493	3.34E-01	5.12E-01	4.60E-01
TCGA-CR-7364	1.20E+00	2.17E+00	2.16E+00
TCGA-CR-7365	1.07E+00	9.11E-01	9.90E-01
TCGA-CR-7367	6.58E-01	1.04E+00	1.14E+00
TCGA-CR-7368	9.07E-01	9.67E-01	1.29E+00
TCGA-CR-7369	3.82E-01	7.26E-01	7.36E-01
TCGA-CR-7370	1.29E+00	2.14E+00	2.01E+00
TCGA-CR-7371	1.29E+00	1.35E+00	1.29E+00
TCGA-CR-7372	6.44E-02	5.68E-01	5.73E-01
TCGA-CR-7373	7.46E-01	5.55E-01	8.50E-01
TCGA-CR-7374	1.27E+00	1.53E+00	1.58E+00
TCGA-CR-7376	3.72E-01	1.27E-01	3.84E-01
TCGA-CR-7377	5.58E-01	7.58E-01	8.99E-01
