sample_id	0	1	2	3	4	5
TCGA-4P-AA8J-01A-11R-A39I-07	14.195063122571698	0.36921623126077996	27.867100793630183	8.151542988188462	11.623084723146981	-6.238132921544518
TCGA-BA-4074-01A-01R-1436-07	31.310047609402137	0.5948349720864614	16.700718212866843	-20.439469129435373	-1.3058627383225065	9.679528351243558
TCGA-BA-4075-01A-01R-1436-07	24.25961525009294	8.977747169323898	17.925759302395175	-21.3533935147921	-5.9363184118505234	9.751342183646356
TCGA-BA-4076-01A-01R-1436-07	5.168852748213645	13.257818902764368	-5.6929436613746836	-13.388354670836803	-0.5125263113332097	-1.3304707610880826
TCGA-BA-4077-01B-01R-1436-07	-5.7244842314539195	-0.49777884110505977	0.5537038133321247	9.995195057945939	-6.187282335872882	-9.782128336300433
TCGA-BA-4078-01A-01R-1436-07	-3.3616600769266283	-31.360457063765526	3.5614626799730518	-6.168106105823134	2.188247119692185	-4.569126126644443
TCGA-BA-5149-01A-01R-1514-07	-7.924091845039383	11.40612625526208	11.79296811656352	-13.146309775406293	-15.310250255758136	3.2595016088111928
TCGA-BA-5151-01A-01R-1436-07	-19.352404202146204	11.215704018820999	-8.678301701756286	-2.0617921239280212	-7.070740465411714	2.822364702869907
TCGA-BA-5152-01A-02R-1873-07	8.593463481597677	12.191413027662161	-2.772943124635094	5.2045854729095264	-5.168943070568144	-5.936212416678675
TCGA-BA-5153-01A-01R-1436-07	-11.662314135822372	-27.940831783956725	-12.768355154535696	13.445365848417302	-12.27632158806335	-6.473160944522207
TCGA-BA-5555-01A-01R-1514-07	-8.951099463597199	-10.94623826549042	-10.495609046548884	-3.4592405297763857	-3.6380178901373377	-8.13017063479409
TCGA-BA-5556-01A-01R-1514-07	-12.4975664913167	12.642407507040291	-5.589019130207436	12.683779363364934	-13.20225643086459	-5.118993983791487
TCGA-BA-5557-01A-01R-1514-07	-17.165864814977294	18.197564020237866	4.923432631535176	3.032081163467773	9.525363710701354	-11.146256456508036
TCGA-BA-5558-01A-01R-1514-07	-10.033313657614263	16.373599122060167	-6.8055402737046125	0.4757227167528633	-5.323225214030617	-2.666791431198332
TCGA-BA-5559-01A-01R-1514-07	-6.411704595328724	-36.03150023959598	4.656774545726693	20.845323115672304	-5.6233537401003835	9.73891905066974
TCGA-BA-6868-01B-12R-1915-07	-8.4020204163545	8.908696770917583	12.741911049634448	-12.286886026060271	-6.2260445738169095	-12.004436923277794
TCGA-BA-6869-01A-11R-1873-07	11.188307636976214	1.4588471840572184	-16.704985372726053	-0.054709718296726106	5.923223313002374	-9.089081136108609
TCGA-BA-6870-01A-11R-1873-07	3.0497043988867945	14.884562535038668	1.5040680321043225	-5.386175397681294	-0.9782921246821059	-9.344749009888178
TCGA-BA-6871-01A-11R-1873-07	13.649385691322095	-28.483063050862828	9.836577089639711	-5.034686004691074	-4.118812369243372	-3.823317804091699
TCGA-BA-6872-01A-11R-1873-07	2.149094958295145	13.425336436280524	8.767030474482555	-7.31185112310101	-2.456138113312838	-10.563539466249866
TCGA-BA-6873-01A-11R-1873-07	-10.705281906379179	2.9694668913097697	13.799742229254162	-5.648429467651556	-13.61305021443366	8.96762593512875
TCGA-BA-7269-01A-11R-2016-07	39.35496299648054	6.873973437726719	16.110392063517292	-4.5690357591357555	24.791233989658487	-11.296097107042064
TCGA-BA-A4IF-01A-11R-A266-07	-4.594950629738643	-1.816779314679927	-10.948146908294248	-7.743042858709216	4.7332954804761584	8.021339488644132
TCGA-BA-A4IG-01A-11R-A266-07	4.117659095382797	-3.731059593355241	-24.26142298097391	-4.282566829193239	-4.947368137869461	2.512868278879528
TCGA-BA-A4IH-01A-11R-A266-07	2.9825342400962223	-21.28509157400035	-8.252882556798253	5.23641672240832	-4.143573755293043	3.9800896489290665
TCGA-BA-A4II-01A-11R-A266-07	-2.7244956326983347	6.732535701874721	-11.832905210133246	-7.172121625562298	1.8310000176445465	-0.27575748204808953
TCGA-BA-A6D8-01A-31R-A31N-07	55.21188216830897	-7.475363257888272	13.609911933416655	-9.164330973022995	20.15261753627601	-9.606007480439029
TCGA-BA-A6DA-01A-31R-A31N-07	31.428808882718567	33.13583759891861	-6.93973376602461	2.4956369386077366	13.95753072415054	-8.160794274651947
TCGA-BA-A6DB-01A-11R-A30B-07	5.188318336171979	7.943674620669797	4.443933019926156	18.012679298741997	16.45685872061536	13.196963491241283
TCGA-BA-A6DD-01A-12R-A31N-07	13.739787992628614	13.541357451680282	1.2046835894933303	7.98381982739212	1.1777003350224804	-10.435784696702251
TCGA-BA-A6DE-01A-22R-A31N-07	-4.179927191571258	5.9573465304373885	-7.019090527107853	-6.162709717667742	-2.2045115613278026	5.990837512272363
TCGA-BA-A6DG-01A-21R-A30B-07	-7.138716789866925	5.142080994869739	24.11267686417377	-0.5777544766862468	12.407280418937829	0.3420212527733921
TCGA-BA-A6DI-01A-11R-A30B-07	-6.316651747061962	8.25640834485852	-11.853681529236285	-0.5130664014828125	1.5788965513753528	-6.575941263764471
TCGA-BA-A6DJ-01A-11R-A30B-07	4.098248188506541	19.948290128323414	-1.1701587938708313	1.5494119512938083	-11.224557652953745	-2.1288300933795576
TCGA-BA-A6DL-01A-21R-A30B-07	9.106194132191895	10.272501844211167	-23.027993681161202	-6.827907000388403	2.697385559242248	4.920454824299602
TCGA-BA-A8YP-01A-11R-A39I-07	-0.44002240781810475	-24.86762759891846	5.403378954746286	-13.693095079801704	7.167149816654798	2.6968505724803924
