Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-CN-A499	2	0	0	15	10	0	0	6	0
TCGA-CN-A49A	27	25	0	19	0	29	34	0	2
TCGA-CN-A49B	13	12	0	1	74	0	0	0	12
TCGA-CN-A49C	9	6	0	28	0	7	0	0	2
TCGA-CN-A63T	16	11	104	25	0	49	39	23	21
TCGA-CN-A63U	15	5	253	0	82	45	130	37	53
TCGA-CN-A63V	4	1	3	44	0	35	0	3	0
TCGA-CN-A63W	3	47	205	31	0	48	57	55	12
TCGA-CN-A641	25	0	105	11	16	35	45	9	0
TCGA-CN-A642	17	13	2	40	0	3	0	3	5
TCGA-CN-A6UY	3	0	2	3	29	0	3	6	0
TCGA-CN-A6V1	53	23	0	0	26	0	0	2	4
TCGA-CN-A6V3	16	13	116	28	0	39	19	0	34
TCGA-CN-A6V6	18	0	0	23	17	0	24	0	0
TCGA-CN-A6V7	14	7	0	24	0	0	10	3	0
TCGA-CQ-5323	6	0	4	19	15	4	2	0	3
TCGA-CQ-5324	10	3	0	22	23	0	2	12	0
TCGA-CQ-5325	4	1	0	0	0	19	0	12	9
TCGA-CQ-5326	62	100	8	26	19	0	0	15	20
TCGA-CQ-5327	103	78	0	34	39	0	0	4	0
TCGA-CQ-5329	1	0	0	8	11	8	0	3	0
TCGA-CQ-5330	7	0	2	23	0	0	0	17	13
TCGA-CQ-5331	47	68	6	6	23	5	0	1	0
TCGA-CQ-5332	17	8	8	38	0	31	23	26	4
TCGA-CQ-5333	66	48	15	43	0	18	26	0	5
TCGA-CQ-5334	31	54	1	42	6	45	0	3	5
TCGA-CQ-6218	31	30	13	35	0	14	1	2	24
TCGA-CQ-6219	6	12	0	13	0	0	5	5	14
TCGA-CQ-6220	13	33	8	25	18	0	0	11	10
TCGA-CQ-6221	17	47	0	7	0	0	43	0	7
TCGA-CQ-6222	2	0	5	12	25	1	0	0	1
TCGA-CQ-6223	0	0	13	10	60	0	0	13	0
TCGA-CQ-6224	4	0	0	15	39	0	0	0	0
TCGA-CQ-6225	5	19	13	21	8	38	8	2	32
TCGA-CQ-6227	2	7	2	19	0	0	11	6	0
TCGA-CQ-6228	1	3	6	0	56	5	0	22	13
TCGA-CQ-6229	1	0	4	9	15	0	0	0	0
TCGA-CQ-7063	19	39	0	0	84	0	0	0	0
TCGA-CQ-7065	4	0	0	2	24	0	0	3	0
TCGA-CQ-7068	24	18	5	22	25	0	1	22	0
TCGA-CQ-7069	19	57	0	3	0	14	0	10	0
TCGA-CQ-7071	167	254	24	0	83	0	0	0	0
TCGA-CQ-7072	5	2	18	2	11	24	0	38	24
TCGA-CQ-A4C6	21	33	0	17	0	33	0	18	4
TCGA-CQ-A4C7	11	0	1	8	0	9	0	8	10
TCGA-CQ-A4C9	10	5	3	9	54	0	5	0	5
TCGA-CQ-A4CB	11	7	0	0	52	0	0	14	9
TCGA-CQ-A4CD	20	76	13	25	26	0	0	0	6
TCGA-CQ-A4CE	4	2	0	12	21	19	0	7	0
TCGA-CQ-A4CG	8	2	12	24	0	39	0	7	0
TCGA-CQ-A4CH	0	0	0	0	0	0	0	4	2
TCGA-CQ-A4CI	5	6	12	32	24	0	33	8	0
TCGA-CR-5243	5	12	0	16	7	25	0	2	0
TCGA-CR-5247	4	1	4	18	7	8	11	0	22
TCGA-CR-5248	111	91	0	0	137	0	0	0	0
TCGA-CR-5249	4	3	0	12	0	0	9	1	4
TCGA-CR-5250	4	1	4	10	0	0	12	0	12
TCGA-CR-6467	3	0	0	10	31	0	0	10	0
TCGA-CR-6470	4	0	0	9	23	0	0	0	0
TCGA-CR-6471	10	0	11	30	40	3	17	17	20
TCGA-CR-6472	195	273	13	0	14	0	46	0	0
TCGA-CR-6473	22	14	2	22	38	0	0	2	3
TCGA-CR-6474	8	16	7	0	30	0	27	3	11
TCGA-CR-6477	10	2	5	0	38	0	0	2	21
TCGA-CR-6478	47	1	0	0	25	0	1	42	12
TCGA-CR-6480	69	28	4	10	13	0	0	0	1
TCGA-CR-6481	320	180	0	20	0	0	17	0	0
TCGA-CR-6482	5	6	2	8	9	2	0	11	0
TCGA-CR-6484	75	140	0	20	0	16	13	1	4
TCGA-CR-6487	35	32	0	36	18	13	0	8	0
TCGA-CR-6488	3	0	3	12	0	10	0	6	0
TCGA-CR-6491	9	1	7	15	22	6	9	15	44
TCGA-CR-6492	10	3	0	6	1	5	0	2	11
TCGA-CR-6493	3	2	1	8	1	11	10	0	0
TCGA-CR-7364	23	21	231	46	0	26	52	62	66
TCGA-CR-7365	45	75	11	0	49	0	12	2	5
TCGA-CR-7367	17	7	26	34	0	42	3	33	16
TCGA-CR-7368	59	66	7	19	9	0	0	23	26
TCGA-CR-7369	10	0	18	2	38	0	0	0	14
TCGA-CR-7370	48	50	315	43	0	112	0	34	13
TCGA-CR-7371	29	75	102	6	60	0	0	22	13
TCGA-CR-7372	1	0	5	23	0	21	0	0	0
TCGA-CR-7373	22	36	3	15	49	0	0	0	0
TCGA-CR-7374	48	61	131	20	0	39	7	38	18
TCGA-CR-7376	1	10	0	11	12	0	0	2	1
TCGA-CR-7377	17	3	1	18	29	0	0	22	28
TCGA-CR-7379	16	4	12	39	51	0	9	21	0
TCGA-CR-7380	9	1	5	54	6	19	0	0	1
TCGA-CR-7382	11	13	0	26	5	8	1	0	7
TCGA-CR-7383	6	0	17	11	58	18	0	6	17
TCGA-CR-7385	6	7	1	0	19	0	0	8	0
TCGA-CR-7386	63	79	0	6	30	10	0	0	0
TCGA-CR-7388	82	142	236	1	93	25	120	0	0
TCGA-CR-7389	0	0	0	17	0	0	19	30	22
TCGA-CR-7390	19	24	0	10	40	34	14	0	13
TCGA-CR-7391	0	1	0	1	0	0	0	0	0
TCGA-CR-7392	2	0	0	1	2	0	0	2	0
TCGA-CR-7394	41	7	0	13	57	0	0	0	7
TCGA-CR-7395	78	20	0	15	0	0	0	30	5
TCGA-CR-7397	5	1	0	2	24	0	0	0	0
TCGA-CR-7398	41	25	190	41	0	33	48	0	23
TCGA-CR-7399	32	25	109	29	0	111	0	0	12
TCGA-CR-7401	5	5	0	24	34	12	0	16	3
TCGA-CR-7404	47	30	0	16	19	0	0	0	3
TCGA-CV-5430	34	33	0	5	26	11	21	9	17
TCGA-CV-5432	8	15	132	12	42	0	54	38	16
TCGA-CV-5434	12	4	37	33	42	5	0	2	19
TCGA-CV-5435	14	1	8	3	26	0	36	23	17
TCGA-CV-5436	18	11	2	5	21	0	0	24	30
TCGA-CV-5439	8	1	45	0	0	14	1	37	14
TCGA-CV-5440	18	34	5	10	0	37	8	0	14
TCGA-CV-5441	18	5	236	35	36	8	64	30	9
TCGA-CV-5442	144	83	6	61	0	0	0	0	0
TCGA-CV-5443	8	0	9	20	0	15	2	3	0
TCGA-CV-5444	34	41	9	21	0	0	0	12	13
TCGA-CV-5966	17	10	0	6	29	16	0	30	20
TCGA-CV-5970	51	45	11	102	0	0	0	0	0
TCGA-CV-5971	2	0	0	6	0	0	0	1	0
TCGA-CV-5973	5	2	0	32	0	22	0	0	2
TCGA-CV-5976	17	8	6	19	0	0	2	15	18
TCGA-CV-5977	8	19	8	22	28	0	0	13	0
TCGA-CV-5978	12	2	54	10	28	20	39	0	20
TCGA-CV-5979	0	2	3	14	0	6	0	1	4
TCGA-CV-6003	19	5	7	28	37	0	0	0	0
TCGA-CV-6433	5	0	0	16	0	0	12	7	8
TCGA-CV-6436	12	5	5	28	21	10	0	6	2
TCGA-CV-6441	44	85	24	0	80	0	8	12	8
TCGA-CV-6933	12	8	10	1	44	0	0	6	40
TCGA-CV-6934	1	6	2	15	6	41	5	7	15
TCGA-CV-6935	32	27	103	12	4	0	47	18	6
TCGA-CV-6936	102	80	26	37	0	1	0	25	15
TCGA-CV-6937	24	6	0	20	0	19	37	15	11
TCGA-CV-6938	10	10	0	48	6	0	35	0	17
TCGA-CV-6939	2	0	0	4	0	9	17	0	0
TCGA-CV-6940	27	32	6	0	51	0	0	31	0
TCGA-CV-6941	14	1	10	29	0	43	6	58	2
TCGA-CV-6942	61	105	27	45	24	0	2	0	0
TCGA-CV-6943	17	11	1	9	0	0	0	0	2
TCGA-CV-6945	14	13	59	35	0	2	0	20	12
TCGA-CV-6948	31	40	9	20	0	81	5	26	0
TCGA-CV-6950	4	0	16	9	14	0	0	0	18
TCGA-CV-6951	24	26	12	21	6	22	9	4	25
TCGA-CV-6952	26	32	3	26	0	0	5	17	81
TCGA-CV-6953	20	18	13	42	0	17	0	15	1
TCGA-CV-6954	13	5	12	0	58	0	2	12	16
TCGA-CV-6955	8	9	4	21	0	17	2	24	0
TCGA-CV-6956	24	16	32	16	71	24	10	0	33
TCGA-CV-6959	0	3	13	21	21	0	11	0	0
TCGA-CV-6960	8	15	78	9	30	0	41	0	16
TCGA-CV-6961	303	291	17	14	0	0	23	0	0
TCGA-CV-6962	7	0	32	22	4	16	37	23	15
TCGA-CV-7089	48	67	6	3	0	0	0	9	35
TCGA-CV-7090	10	2	4	12	16	0	6	1	0
TCGA-CV-7091	15	10	0	11	14	5	62	8	12
TCGA-CV-7095	49	78	14	71	0	2	20	27	2
TCGA-CV-7097	9	7	1	24	6	7	15	4	14
TCGA-CV-7099	105	108	7	25	34	0	0	12	8
TCGA-CV-7100	2	0	0	4	0	0	7	1	0
TCGA-CV-7101	24	5	23	3	62	33	0	25	8
TCGA-CV-7102	30	39	8	8	52	14	6	8	3
TCGA-CV-7103	3	9	2	6	0	0	4	12	10
TCGA-CV-7104	20	11	0	17	0	66	2	0	0
TCGA-CV-7177	7	20	4	3	26	30	0	3	7
