Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-QK-AA3K	7	6	9	16	0	22	0	22	22
TCGA-RS-A6TO	43	29	6	25	32	30	3	0	4
TCGA-RS-A6TP	59	55	0	18	18	0	0	0	4
TCGA-T2-A6WX	75	72	2	9	57	0	0	9	0
TCGA-T2-A6WZ	6	14	7	26	0	5	20	0	21
TCGA-T2-A6X0	8	0	1	41	1	0	6	8	0
TCGA-T2-A6X2	155	197	8	1	41	19	7	0	3
TCGA-T3-A92M	81	185	35	15	30	7	0	13	13
TCGA-T3-A92N	64	21	8	49	0	13	1	0	30
TCGA-TN-A7HI	12	0	7	28	10	0	6	0	0
TCGA-TN-A7HJ	42	25	9	15	0	10	0	0	0
TCGA-TN-A7HL	367	279	0	0	113	0	0	0	0
TCGA-UF-A718	1	0	15	13	18	0	8	0	7
TCGA-UF-A719	5	0	2	31	0	10	40	24	11
TCGA-UF-A71A	12	8	19	16	29	64	0	20	53
TCGA-UF-A71B	14	8	0	9	34	9	34	24	25
TCGA-UF-A71D	42	21	174	61	6	57	17	97	51
TCGA-UF-A71E	14	5	26	60	11	25	24	7	22
TCGA-UF-A7J9	35	59	67	33	0	47	0	5	23
TCGA-UF-A7JA	21	54	30	5	33	7	0	19	18
TCGA-UF-A7JC	8	2	11	13	4	0	0	0	22
TCGA-UF-A7JD	0	0	16	8	55	21	1	0	14
TCGA-UF-A7JF	16	11	20	10	0	2	32	2	33
TCGA-UF-A7JH	7	1	19	19	21	14	0	0	3
TCGA-UF-A7JJ	0	2	18	4	0	19	0	6	5
TCGA-UF-A7JK	8	1	26	49	0	0	15	0	31
TCGA-UF-A7JO	26	45	8	64	0	16	0	18	1
TCGA-UF-A7JS	3	12	7	22	0	0	27	4	4
TCGA-UF-A7JT	51	67	12	35	33	21	0	0	0
TCGA-UF-A7JV	35	28	0	3	0	15	0	1	5
TCGA-UP-A6WW	2	0	1	12	20	0	1	9	0
TCGA-WA-A7GZ	43	53	26	36	0	0	0	39	32
TCGA-WA-A7H4	4	15	3	11	0	0	0	9	9
