Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-BB-7870	6.76E-01	5.58E-01	2.53E+00	1.20E+00	1.70E+00	2.23E+00	2.52E+00	1.77E+00	1.34E+00
TCGA-BB-8596	7.96E-01	8.54E-01	3.52E-01	6.56E-01	9.37E-01	6.37E-01	6.23E-01	9.28E-01	6.74E-01
TCGA-BB-8601	3.57E-01	2.18E-01	5.24E-01	5.09E-01	7.85E-01	5.87E-01	8.02E-01	8.09E-01	7.48E-01
TCGA-BB-A5HU	2.50E+00	2.67E+00	5.35E-01	7.64E-01	9.59E-01	7.36E-01	9.36E-01	9.29E-01	3.02E-01
TCGA-BB-A5HY	1.49E+00	1.51E+00	1.11E+00	7.32E-01	1.56E+00	1.46E+00	1.44E+00	1.66E+00	1.34E+00
TCGA-BB-A5HZ	6.73E-01	2.18E-01	5.16E-01	7.84E-01	9.85E-01	1.19E+00	7.34E-01	9.57E-01	6.43E-01
TCGA-BB-A6UM	5.31E-01	0.00E+00	0.00E+00	1.25E+00	1.37E+00	7.72E-01	8.58E-01	1.18E+00	4.67E-01
TCGA-BB-A6UO	6.06E-01	3.07E-01	5.67E-01	8.73E-01	1.12E+00	9.20E-01	9.38E-01	9.02E-01	1.04E+00
TCGA-C9-A47Z	4.85E-01	2.40E-01	8.76E-01	1.20E+00	1.25E+00	9.93E-01	9.81E-01	7.71E-01	6.05E-01
TCGA-C9-A480	5.83E-01	2.78E-01	3.42E-01	8.02E-01	7.93E-01	6.32E-01	5.01E-01	6.38E-01	1.79E-01
TCGA-CN-4725	3.55E-01	4.55E-02	4.77E-01	1.05E+00	9.87E-01	6.64E-01	4.75E-01	4.70E-01	3.00E-01
TCGA-CN-4726	4.26E-01	4.61E-01	6.66E-01	7.44E-01	9.41E-01	7.86E-01	7.60E-01	7.89E-01	3.99E-01
TCGA-CN-4727	1.11E+00	7.86E-01	3.73E+00	1.43E+00	1.96E+00	2.71E+00	4.11E+00	1.82E+00	1.03E+00
TCGA-CN-4728	5.41E-01	5.64E-01	4.59E-01	6.68E-01	7.49E-01	8.60E-01	5.67E-01	7.54E-01	5.88E-01
TCGA-CN-4729	8.15E-01	8.77E-01	7.44E-01	8.88E-01	1.16E+00	9.70E-01	7.22E-01	8.88E-01	8.67E-01
TCGA-CN-4730	1.49E+00	1.62E+00	6.85E-01	9.20E-01	1.12E+00	9.96E-01	9.71E-01	9.98E-01	1.07E+00
TCGA-CN-4731	6.47E-01	6.03E-01	6.64E-01	8.89E-01	9.74E-01	1.03E+00	9.55E-01	8.17E-01	9.52E-01
TCGA-CN-4733	2.03E-01	0.00E+00	6.62E-02	3.07E-01	2.47E-01	1.54E-01	1.60E-01	2.32E-01	9.06E-02
TCGA-CN-4734	1.30E+00	1.33E+00	5.96E-01	1.68E+00	1.66E+00	9.95E-01	7.45E-01	7.64E-01	4.88E-01
TCGA-CN-4735	1.39E+00	1.40E+00	9.07E-01	7.97E-01	1.03E+00	9.00E-01	1.02E+00	1.16E+00	6.80E-01
TCGA-CN-4736	5.56E-01	1.77E-01	6.39E-01	8.74E-01	1.04E+00	1.06E+00	8.43E-01	9.52E-01	7.62E-01
TCGA-CN-4737	2.81E-01	1.34E-01	4.32E-01	7.27E-01	7.28E-01	5.09E-01	2.83E-01	7.63E-01	1.96E-01
TCGA-CN-4738	5.97E-01	4.29E-01	9.29E-01	6.53E-01	8.27E-01	8.29E-01	7.66E-01	6.80E-01	5.33E-01
TCGA-CN-4739	8.14E-01	5.55E-01	1.86E+00	8.79E-01	1.51E+00	1.89E+00	1.86E+00	1.53E+00	1.16E+00
TCGA-CN-4740	1.02E+00	1.10E+00	2.27E-01	8.32E-01	9.96E-01	1.03E+00	9.48E-01	8.35E-01	6.16E-01
TCGA-CN-4741	7.38E-01	5.19E-01	8.10E-01	9.34E-01	8.35E-01	1.04E+00	8.75E-01	9.55E-01	6.01E-01
TCGA-CN-4742	4.07E-01	1.90E-01	5.14E-01	6.90E-01	7.37E-01	8.79E-01	8.03E-01	6.51E-01	6.60E-01
TCGA-CN-5355	3.59E-01	2.95E-01	1.05E+00	7.69E-01	1.01E+00	1.13E+00	1.15E+00	8.59E-01	9.18E-01
TCGA-CN-5356	1.10E+00	8.12E-01	1.97E+00	1.46E+00	2.08E+00	2.31E+00	2.47E+00	2.61E+00	1.59E+00
TCGA-CN-5358	1.28E-01	2.29E-01	8.97E-02	2.10E-01	3.49E-01	4.00E-01	3.49E-01	1.33E-01	3.84E-01
TCGA-CN-5359	5.58E-01	3.95E-01	9.16E-01	8.18E-01	1.03E+00	9.49E-01	9.66E-01	8.46E-01	9.47E-01
TCGA-CN-5360	1.68E+00	6.55E-01	4.37E+00	1.18E+00	2.28E+00	3.73E+00	4.17E+00	2.70E+00	1.32E+00
TCGA-CN-5361	7.70E-01	7.54E-01	6.74E-01	7.20E-01	9.01E-01	8.91E-01	1.03E+00	6.03E-01	9.52E-01
TCGA-CN-5363	8.23E-01	5.55E-01	1.38E+00	5.23E-01	1.18E+00	1.46E+00	1.38E+00	1.28E+00	1.20E+00
TCGA-CN-5364	7.27E-01	7.89E-01	6.43E-01	6.84E-01	1.06E+00	1.37E+00	1.08E+00	1.26E+00	1.06E+00
