Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-CR-7368	1.75E+00	1.96E+00	4.73E-01	1.01E+00	1.19E+00	9.94E-01	1.03E+00	1.18E+00	1.12E+00
TCGA-CR-7369	5.07E-01	2.69E-01	5.63E-01	6.86E-01	9.22E-01	8.89E-01	7.34E-01	8.24E-01	8.59E-01
TCGA-CR-7370	1.36E+00	1.33E+00	4.04E+00	1.65E+00	2.57E+00	3.40E+00	4.30E+00	2.32E+00	1.27E+00
TCGA-CR-7371	1.97E+00	2.00E+00	1.79E+00	1.07E+00	1.45E+00	1.84E+00	1.83E+00	1.26E+00	9.14E-01
TCGA-CR-7372	2.11E-01	0.00E+00	5.97E-01	7.35E-01	6.77E-01	7.27E-01	6.05E-01	4.06E-01	2.92E-01
TCGA-CR-7373	9.43E-01	1.01E+00	4.53E-01	1.10E+00	1.04E+00	7.19E-01	6.51E-01	7.35E-01	2.84E-01
TCGA-CR-7374	1.21E+00	1.56E+00	2.00E+00	9.97E-01	1.50E+00	1.85E+00	2.11E+00	1.50E+00	1.01E+00
TCGA-CR-7376	3.34E-01	4.18E-01	5.70E-02	5.25E-01	4.94E-01	3.21E-01	2.13E-01	3.82E-01	3.32E-01
TCGA-CR-7377	6.69E-01	5.75E-01	3.93E-01	1.03E+00	1.12E+00	9.18E-01	7.05E-01	1.02E+00	1.05E+00
TCGA-CR-7379	7.67E-01	4.80E-01	8.90E-01	1.52E+00	1.59E+00	1.07E+00	9.29E-01	1.19E+00	6.22E-01
TCGA-CR-7380	6.49E-01	2.43E-01	5.48E-01	1.46E+00	1.60E+00	7.95E-01	5.53E-01	8.26E-01	3.41E-01
TCGA-CR-7382	5.99E-01	6.21E-01	8.27E-02	9.24E-01	9.14E-01	5.48E-01	3.18E-01	5.80E-01	3.58E-01
TCGA-CR-7383	5.58E-01	3.04E-01	9.29E-01	1.17E+00	1.38E+00	1.30E+00	8.81E-01	1.07E+00	8.31E-01
TCGA-CR-7385	5.50E-01	4.62E-01	1.92E-01	3.72E-01	5.65E-01	5.53E-01	3.50E-01	6.03E-01	2.93E-01
TCGA-CR-7386	2.37E+00	2.58E+00	5.00E-02	7.75E-01	1.37E+00	6.74E-01	7.04E-01	5.61E-01	0.00E+00
TCGA-CR-7388	3.06E+00	3.08E+00	4.24E+00	1.36E+00	2.37E+00	3.61E+00	4.19E+00	1.90E+00	1.19E+00
TCGA-CR-7389	4.54E-01	1.00E-01	3.52E-01	7.49E-01	1.16E+00	9.59E-01	9.93E-01	1.16E+00	1.07E+00
TCGA-CR-7390	9.80E-01	8.68E-01	3.83E-01	9.67E-01	1.11E+00	1.29E+00	1.13E+00	1.15E+00	9.35E-01
TCGA-CR-7391	1.41E-02	7.93E-02	0.00E+00	7.71E-02	4.79E-02	0.00E+00	1.00E-02	0.00E+00	0.00E+00
TCGA-CR-7392	1.51E-01	4.86E-02	0.00E+00	1.93E-01	1.37E-01	1.12E-01	7.57E-02	1.34E-01	1.02E-01
TCGA-CR-7394	1.26E+00	8.32E-01	3.28E-01	1.47E+00	1.46E+00	8.45E-01	4.12E-01	6.68E-01	5.80E-01
TCGA-CR-7395	1.83E+00	1.63E+00	2.44E-01	7.70E-01	1.14E+00	7.12E-01	7.58E-01	1.20E+00	7.78E-01
TCGA-CR-7397	4.25E-01	2.90E-01	3.83E-02	5.44E-01	5.77E-01	3.99E-01	3.59E-01	3.19E-01	8.32E-02
TCGA-CR-7398	1.08E+00	1.02E+00	2.84E+00	1.25E+00	1.44E+00	2.41E+00	2.87E+00	1.30E+00	9.80E-01
TCGA-CR-7399	9.49E-01	9.20E-01	2.43E+00	1.40E+00	1.88E+00	2.50E+00	2.03E+00	1.27E+00	1.00E+00
TCGA-CR-7401	5.36E-01	4.12E-01	2.92E-01	1.51E+00	1.49E+00	1.13E+00	7.11E-01	1.19E+00	5.45E-01
TCGA-CR-7404	1.44E+00	1.38E+00	8.95E-02	8.11E-01	9.09E-01	4.29E-01	4.83E-01	3.27E-01	3.64E-01
TCGA-CV-5430	1.11E+00	1.16E+00	3.73E-01	8.27E-01	1.16E+00	1.12E+00	9.85E-01	1.08E+00	1.04E+00
TCGA-CV-5432	9.96E-01	7.74E-01	2.33E+00	9.73E-01	1.89E+00	1.87E+00	2.25E+00	1.60E+00	1.15E+00
TCGA-CV-5434	6.14E-01	4.86E-01	9.56E-01	1.16E+00	1.32E+00	1.31E+00	1.00E+00	1.08E+00	1.08E+00
TCGA-CV-5435	6.73E-01	4.60E-01	8.59E-01	7.64E-01	1.05E+00	9.95E-01	1.15E+00	1.12E+00	9.18E-01
TCGA-CV-5436	6.71E-01	6.56E-01	4.33E-01	6.98E-01	8.07E-01	8.51E-01	7.02E-01	9.30E-01	1.08E+00
TCGA-CV-5439	5.46E-01	2.00E-01	1.30E+00	4.69E-01	1.10E+00	1.25E+00	1.51E+00	1.30E+00	9.47E-01
TCGA-CV-5440	8.94E-01	9.00E-01	7.19E-01	7.22E-01	9.80E-01	1.10E+00	8.23E-01	7.33E-01	7.80E-01
TCGA-CV-5441	1.15E+00	6.32E-01	3.67E+00	1.26E+00	2.18E+00	2.71E+00	3.45E+00	2.06E+00	1.19E+00
TCGA-CV-5442	3.49E+00	3.41E+00	4.66E-01	1.43E+00	1.42E+00	9.12E-01	8.91E-01	8.92E-01	2.73E-01
TCGA-CV-5443	4.20E-01	1.03E-01	5.62E-01	6.95E-01	6.42E-01	6.88E-01	5.69E-01	4.34E-01	1.75E-01
TCGA-CV-5444	1.16E+00	1.15E+00	5.23E-01	7.79E-01	8.10E-01	7.44E-01	6.01E-01	7.93E-01	6.27E-01
TCGA-CV-5966	7.21E-01	5.88E-01	3.45E-01	8.61E-01	1.04E+00	1.04E+00	9.63E-01	1.22E+00	1.11E+00
TCGA-CV-5970	1.27E+00	1.46E+00	6.68E-01	1.61E+00	1.65E+00	8.71E-01	1.07E+00	1.08E+00	2.91E-01
TCGA-CV-5971	1.65E-01	1.41E-02	0.00E+00	2.71E-01	2.05E-01	4.90E-02	5.37E-02	1.24E-01	8.46E-02
TCGA-CV-5973	4.32E-01	1.96E-01	3.36E-01	9.92E-01	8.98E-01	7.26E-01	4.57E-01	5.27E-01	4.54E-01
TCGA-CV-5976	6.13E-01	5.10E-01	4.34E-01	7.53E-01	8.10E-01	6.28E-01	6.78E-01	7.53E-01	8.32E-01
TCGA-CV-5977	7.25E-01	6.56E-01	5.53E-01	1.17E+00	1.10E+00	6.87E-01	3.59E-01	1.03E+00	1.65E-01
TCGA-CV-5978	8.01E-01	3.80E-01	1.62E+00	8.77E-01	1.27E+00	1.56E+00	1.42E+00	9.16E-01	8.91E-01
TCGA-CV-5979	1.49E-01	1.49E-01	2.57E-01	5.50E-01	5.67E-01	3.65E-01	3.09E-01	4.20E-01	2.88E-01
TCGA-CV-6003	7.83E-01	6.32E-01	4.66E-01	1.17E+00	1.24E+00	6.70E-01	4.71E-01	6.58E-01	3.46E-01
TCGA-CV-6433	3.78E-01	2.57E-01	2.82E-01	5.82E-01	7.48E-01	5.03E-01	5.86E-01	6.51E-01	6.07E-01
TCGA-CV-6436	5.79E-01	3.97E-01	3.82E-01	1.21E+00	1.22E+00	8.30E-01	4.84E-01	7.80E-01	2.70E-01
TCGA-CV-6441	1.97E+00	2.10E+00	9.39E-01	9.94E-01	1.46E+00	1.18E+00	1.24E+00	1.26E+00	1.29E+00
TCGA-CV-6933	5.65E-01	5.58E-01	7.18E-01	8.42E-01	1.04E+00	1.06E+00	9.83E-01	1.04E+00	9.68E-01
TCGA-CV-6934	4.97E-01	4.09E-01	5.88E-01	7.33E-01	9.83E-01	1.15E+00	1.04E+00	8.46E-01	9.22E-01
TCGA-CV-6935	1.03E+00	1.03E+00	1.65E+00	7.24E-01	1.04E+00	1.35E+00	1.62E+00	1.28E+00	5.40E-01
TCGA-CV-6936	2.35E+00	2.28E+00	8.41E-01	1.19E+00	1.29E+00	1.19E+00	1.02E+00	1.11E+00	1.12E+00
TCGA-CV-6937	7.98E-01	5.86E-01	6.48E-01	8.58E-01	1.28E+00	1.18E+00	1.01E+00	1.33E+00	1.25E+00
TCGA-CV-6938	6.05E-01	4.93E-01	4.73E-01	1.13E+00	1.33E+00	8.16E-01	8.57E-01	7.86E-01	8.99E-01
TCGA-CV-6939	2.93E-01	5.10E-02	4.30E-01	4.26E-01	5.07E-01	6.06E-01	6.36E-01	4.39E-01	1.66E-01
TCGA-CV-6940	1.18E+00	1.24E+00	6.71E-01	9.54E-01	1.12E+00	7.68E-01	7.52E-01	1.15E+00	7.08E-01
TCGA-CV-6941	7.17E-01	4.23E-01	1.01E+00	1.25E+00	1.45E+00	1.29E+00	1.30E+00	1.46E+00	9.51E-01
TCGA-CV-6942	2.33E+00	2.63E+00	1.03E+00	1.05E+00	1.62E+00	1.08E+00	1.08E+00	9.24E-01	3.69E-01
TCGA-CV-6943	6.26E-01	6.16E-01	1.52E-01	3.53E-01	3.13E-01	2.36E-01	1.75E-01	9.25E-02	2.29E-01
TCGA-CV-6945	6.28E-01	5.67E-01	1.12E+00	8.48E-01	1.02E+00	1.11E+00	1.00E+00	1.01E+00	8.23E-01
TCGA-CV-6948	1.06E+00	1.13E+00	1.14E+00	1.05E+00	1.39E+00	1.56E+00	1.37E+00	1.22E+00	8.15E-01
TCGA-CV-6950	3.57E-01	1.70E-01	5.33E-01	6.14E-01	5.58E-01	4.27E-01	4.08E-01	4.82E-01	7.75E-01
TCGA-CV-6951	1.05E+00	1.03E+00	8.47E-01	7.59E-01	1.06E+00	1.11E+00	9.09E-01	1.08E+00	8.68E-01
TCGA-CV-6952	9.42E-01	1.02E+00	1.43E-01	9.59E-01	1.57E+00	1.21E+00	1.08E+00	1.07E+00	1.33E+00
TCGA-CV-6953	7.67E-01	6.84E-01	8.15E-01	1.21E+00	1.42E+00	9.45E-01	8.75E-01	1.04E+00	3.49E-01
TCGA-CV-6954	6.10E-01	6.44E-01	7.29E-01	8.51E-01	1.16E+00	1.14E+00	1.04E+00	1.20E+00	1.20E+00
TCGA-CV-6955	5.25E-01	4.33E-01	4.75E-01	8.05E-01	9.21E-01	7.85E-01	7.58E-01	8.51E-01	6.36E-01
TCGA-CV-6956	9.83E-01	8.62E-01	1.28E+00	1.08E+00	1.70E+00	1.90E+00	1.50E+00	1.43E+00	1.58E+00
TCGA-CV-6959	2.53E-01	4.00E-01	7.86E-01	9.99E-01	1.09E+00	6.59E-01	7.95E-01	3.69E-01	1.74E-01
TCGA-CV-6960	6.08E-01	7.30E-01	1.68E+00	7.10E-01	1.16E+00	1.28E+00	1.62E+00	1.10E+00	9.55E-01
TCGA-CV-6961	8.77E+00	9.32E+00	8.85E-01	1.22E+00	4.18E+00	1.36E+00	1.49E+00	9.62E-01	6.04E-01
TCGA-CV-6962	6.36E-01	1.89E-01	1.07E+00	8.62E-01	1.30E+00	1.09E+00	1.10E+00	1.18E+00	1.00E+00
TCGA-CV-7089	1.74E+00	1.81E+00	4.34E-01	5.40E-01	8.81E-01	8.95E-01	6.92E-01	6.77E-01	9.05E-01
TCGA-CV-7090	4.88E-01	3.94E-01	4.06E-01	6.39E-01	6.21E-01	4.72E-01	4.36E-01	5.70E-01	2.09E-01
TCGA-CV-7091	7.14E-01	7.37E-01	6.63E-01	8.06E-01	1.17E+00	1.24E+00	1.32E+00	1.18E+00	1.04E+00
TCGA-CV-7095	1.54E+00	1.77E+00	8.10E-01	1.45E+00	1.50E+00	1.17E+00	1.20E+00	1.15E+00	6.02E-01
TCGA-CV-7097	4.83E-01	4.37E-01	1.45E-01	9.35E-01	8.40E-01	8.02E-01	7.30E-01	7.68E-01	6.79E-01
TCGA-CV-7099	3.50E+00	3.73E+00	7.22E-01	1.03E+00	1.63E+00	9.52E-01	6.68E-01	7.74E-01	6.47E-01
TCGA-CV-7100	1.32E-01	1.10E-01	1.67E-01	2.93E-01	2.94E-01	1.86E-01	3.08E-01	2.27E-01	1.35E-01
TCGA-CV-7101	9.95E-01	7.86E-01	1.08E+00	1.11E+00	1.45E+00	1.42E+00	1.21E+00	1.44E+00	8.69E-01
TCGA-CV-7102	1.17E+00	1.36E+00	6.76E-01	1.07E+00	1.22E+00	1.01E+00	9.24E-01	1.00E+00	6.49E-01
TCGA-CV-7103	3.45E-01	3.81E-01	2.15E-01	4.69E-01	6.80E-01	5.82E-01	5.84E-01	6.33E-01	5.55E-01
TCGA-CV-7104	7.14E-01	7.37E-01	9.17E-01	1.10E+00	1.18E+00	1.26E+00	1.05E+00	5.44E-01	4.22E-01
TCGA-CV-7177	6.40E-01	6.61E-01	5.31E-01	7.16E-01	9.44E-01	1.02E+00	8.25E-01	6.55E-01	8.69E-01
TCGA-CV-7178	6.98E-01	5.11E-01	7.29E-01	9.78E-01	1.22E+00	1.11E+00	9.28E-01	1.46E+00	9.59E-01
TCGA-CV-7180	4.34E-01	2.69E-01	5.24E-01	7.25E-01	7.11E-01	7.85E-01	6.30E-01	4.88E-01	5.71E-01
TCGA-CV-7183	4.37E-01	8.65E-02	6.47E-01	7.53E-01	8.56E-01	5.88E-01	4.93E-01	6.06E-01	2.73E-01
TCGA-CV-7235	7.05E-01	6.99E-01	8.13E-01	8.80E-01	1.16E+00	1.07E+00	1.26E+00	8.39E-01	1.13E+00
TCGA-CV-7236	4.73E-01	0.00E+00	2.80E-01	1.04E+00	9.83E-01	5.30E-01	3.05E-01	6.98E-01	1.62E-01
TCGA-CV-7238	4.66E-01	2.92E-01	2.74E-01	6.68E-01	5.84E-01	3.20E-01	3.78E-01	6.25E-01	2.89E-01
TCGA-CV-7242	1.07E+00	7.90E-01	3.00E+00	1.11E+00	1.71E+00	2.50E+00	2.96E+00	1.74E+00	1.22E+00
TCGA-CV-7243	5.22E-01	3.65E-01	1.08E-01	8.94E-01	8.99E-01	6.18E-01	6.26E-01	8.31E-01	4.82E-01
TCGA-CV-7245	1.45E+00	8.76E-01	4.33E+00	1.28E+00	2.64E+00	3.92E+00	4.01E+00	3.12E+00	1.88E+00
TCGA-CV-7247	4.84E-01	3.57E-01	4.64E-01	5.94E-01	7.45E-01	9.32E-01	6.64E-01	4.19E-01	5.82E-01
TCGA-CV-7248	8.69E-01	7.49E-01	2.75E+00	6.81E-01	1.14E+00	2.15E+00	2.45E+00	1.68E+00	9.57E-01
TCGA-CV-7250	7.37E-01	4.52E-01	1.60E+00	1.53E+00	1.85E+00	1.78E+00	1.67E+00	1.46E+00	7.18E-01
TCGA-CV-7252	1.42E+00	1.45E+00	8.02E-01	2.13E+00	2.57E+00	1.77E+00	1.02E+00	1.57E+00	7.48E-01
TCGA-CV-7253	5.82E-01	3.58E-01	1.29E+00	1.28E+00	1.85E+00	1.56E+00	1.69E+00	1.45E+00	1.18E+00
TCGA-CV-7254	8.59E-01	5.72E-01	2.55E+00	9.19E-01	1.44E+00	1.95E+00	2.48E+00	1.81E+00	1.04E+00
TCGA-CV-7255	5.37E-01	3.10E-01	7.46E-01	1.15E+00	1.40E+00	8.12E-01	8.92E-01	8.83E-01	5.13E-01
TCGA-CV-7261	5.63E-01	5.72E-01	6.35E-01	1.02E+00	9.49E-01	7.51E-01	8.32E-01	1.11E+00	4.93E-01
TCGA-CV-7263	8.28E-01	1.16E-01	4.23E-01	1.01E+00	1.45E+00	1.19E+00	7.87E-01	1.10E+00	1.03E+00
TCGA-CV-7406	3.10E+00	2.82E+00	5.05E-01	1.08E+00	1.20E+00	7.41E-01	7.87E-01	8.63E-01	5.46E-01
TCGA-CV-7407	5.36E-01	4.87E-01	4.82E-01	7.86E-01	1.07E+00	9.47E-01	8.68E-01	1.10E+00	1.09E+00
TCGA-CV-7410	2.95E-01	3.92E-01	1.96E-01	1.86E-01	2.39E-01	2.95E-01	2.29E-01	2.46E-01	7.02E-02
TCGA-CV-7411	7.01E-01	7.63E-01	8.79E-01	8.05E-01	1.08E+00	1.08E+00	8.76E-01	1.02E+00	7.01E-01
TCGA-CV-7413	6.86E-01	4.02E-01	4.67E-01	1.18E+00	1.10E+00	6.18E-01	3.33E-01	8.91E-01	2.42E-01
TCGA-CV-7414	1.72E+00	1.75E+00	7.12E-01	1.34E+00	1.71E+00	1.18E+00	1.27E+00	1.01E+00	1.05E+00
TCGA-CV-7415	6.80E-01	5.63E-01	3.64E-01	7.24E-01	8.08E-01	6.83E-01	4.73E-01	7.99E-01	5.52E-01
TCGA-CV-7416	6.41E-01	4.52E-01	2.46E-01	9.01E-01	9.29E-01	5.93E-01	6.23E-01	6.56E-01	1.16E-01
TCGA-CV-7418	5.73E-01	7.14E-01	1.01E+00	1.16E+00	1.51E+00	1.66E+00	1.32E+00	1.23E+00	1.16E+00
TCGA-CV-7421	5.18E-01	5.50E-01	4.10E-01	6.17E-01	8.84E-01	4.86E-01	5.06E-01	6.44E-01	5.22E-01
TCGA-CV-7422	6.98E-01	6.42E-01	1.07E+00	8.99E-01	1.09E+00	1.15E+00	1.16E+00	9.40E-01	7.59E-01
TCGA-CV-7423	5.16E-01	4.34E-01	4.96E-01	1.06E+00	1.04E+00	6.48E-01	7.36E-01	9.69E-01	3.92E-01
TCGA-CV-7424	9.08E-01	8.80E-01	1.03E+00	1.37E+00	1.39E+00	1.11E+00	1.07E+00	1.24E+00	7.28E-01
TCGA-CV-7425	7.32E-01	5.84E-01	6.60E-01	1.32E+00	1.33E+00	7.82E-01	4.82E-01	8.75E-01	5.00E-01
TCGA-CV-7427	6.99E+00	7.39E+00	4.93E-01	7.68E-01	3.40E+00	1.62E+00	1.05E+00	8.81E-01	7.48E-02
TCGA-CV-7429	4.90E-01	3.56E-01	5.51E-01	5.77E-01	7.11E-01	6.87E-01	6.39E-01	6.15E-01	3.76E-01
TCGA-CV-7430	5.39E-01	3.52E-01	1.19E+00	9.94E-01	1.12E+00	1.17E+00	1.20E+00	1.36E+00	1.05E+00
TCGA-CV-7432	7.10E-01	4.82E-01	1.11E+00	1.21E+00	1.57E+00	1.61E+00	1.45E+00	1.47E+00	1.25E+00
TCGA-CV-7433	7.88E-01	7.52E-01	7.53E-01	5.72E-01	7.73E-01	7.58E-01	7.82E-01	7.43E-01	6.69E-01
TCGA-CV-7434	2.88E-01	5.34E-01	9.08E-01	8.52E-01	1.20E+00	1.17E+00	9.20E-01	8.72E-01	8.86E-01
TCGA-CV-7435	5.49E-01	4.15E-01	4.18E-01	4.26E-01	8.22E-01	9.11E-01	8.18E-01	8.80E-01	9.86E-01
TCGA-CV-7437	7.54E-01	6.68E-01	7.09E-01	1.43E+00	1.49E+00	8.53E-01	6.75E-01	8.82E-01	5.93E-01
TCGA-CV-7438	6.20E-01	5.81E-01	5.63E-01	1.07E+00	1.14E+00	7.10E-01	6.64E-01	6.75E-01	6.97E-01
TCGA-CV-7440	8.03E-01	6.35E-01	1.70E+00	8.13E-01	1.18E+00	1.33E+00	1.77E+00	1.18E+00	9.26E-01
TCGA-CV-7446	8.70E-01	7.44E-01	9.04E-01	8.57E-01	1.13E+00	1.35E+00	1.13E+00	1.10E+00	9.74E-01
TCGA-CV-A45O	1.69E+00	1.63E+00	3.20E-01	8.32E-01	9.37E-01	5.62E-01	7.23E-01	5.67E-01	1.73E-01
TCGA-CV-A45P	2.04E+00	2.20E+00	7.12E-01	1.02E+00	1.41E+00	7.27E-01	7.81E-01	4.76E-01	3.86E-01
TCGA-CV-A45Q	2.53E+00	2.50E+00	9.60E-01	1.56E+00	1.65E+00	1.38E+00	1.20E+00	1.04E+00	7.14E-01
TCGA-CV-A45R	6.04E-01	2.27E-01	3.59E-02	1.16E+00	1.34E+00	6.98E-01	6.85E-01	8.44E-01	4.85E-01
TCGA-CV-A45T	1.71E-02	0.00E+00	0.00E+00	2.59E-01	2.23E-01	9.83E-02	1.71E-02	8.57E-02	1.62E-01
TCGA-CV-A45U	1.82E+00	2.06E+00	1.20E+00	8.72E-01	1.04E+00	1.31E+00	1.11E+00	9.54E-01	8.88E-01
TCGA-CV-A45V	8.67E-01	6.68E-01	7.14E-01	1.63E+00	1.61E+00	7.28E-01	7.95E-01	9.63E-01	3.67E-01
TCGA-CV-A45W	1.22E+00	1.04E+00	3.51E+00	1.25E+00	2.34E+00	3.09E+00	3.76E+00	2.13E+00	1.57E+00
TCGA-CV-A45X	5.31E-01	4.75E-01	7.81E-01	8.15E-01	1.01E+00	1.04E+00	1.01E+00	1.18E+00	9.30E-01
TCGA-CV-A45Y	1.24E-01	2.95E-01	5.11E-01	5.65E-01	7.45E-01	4.54E-01	6.16E-01	4.48E-01	5.22E-01
TCGA-CV-A45Z	1.45E+00	1.27E+00	5.35E+00	1.03E+00	2.71E+00	4.91E+00	5.56E+00	2.36E+00	1.62E+00
TCGA-CV-A460	4.66E-01	3.73E-01	5.85E-01	7.92E-01	8.82E-01	8.29E-01	6.37E-01	6.32E-01	5.23E-01
TCGA-CV-A461	1.60E+00	1.22E+00	4.98E+00	1.06E+00	2.74E+00	3.33E+00	4.71E+00	2.51E+00	2.28E+00
TCGA-CV-A463	2.04E+00	2.08E+00	7.19E-01	1.66E+00	1.89E+00	1.08E+00	9.49E-01	9.72E-01	6.77E-01
TCGA-CV-A464	2.85E-01	1.00E-02	3.10E-01	5.04E-01	4.60E-01	5.17E-01	3.18E-01	3.86E-01	2.14E-01
TCGA-CV-A465	3.22E-01	3.66E-01	2.97E-01	5.74E-01	5.98E-01	4.48E-01	4.16E-01	3.38E-01	1.50E-01
TCGA-CV-A468	1.83E+00	7.37E-02	1.51E-01	3.51E+00	3.42E+00	1.59E+00	4.30E-01	2.34E+00	4.94E-01
TCGA-CV-A6JD	5.92E-01	0.00E+00	6.44E-01	1.27E+00	1.36E+00	1.01E+00	4.14E-01	1.05E+00	3.06E-01
TCGA-CV-A6JE	1.00E+00	1.15E+00	5.88E-01	6.19E-01	1.06E+00	1.14E+00	1.00E+00	9.68E-01	1.09E+00
TCGA-CV-A6JM	3.83E+00	3.97E+00	8.03E-01	1.16E+00	1.46E+00	1.45E+00	1.14E+00	1.38E+00	6.20E-01
TCGA-CV-A6JN	3.79E-01	2.72E-01	5.29E-01	8.07E-01	8.31E-01	6.44E-01	6.06E-01	7.37E-01	8.75E-01
TCGA-CV-A6JO	2.90E-01	1.63E-01	1.92E-01	9.76E-01	1.02E+00	6.79E-01	6.46E-01	5.95E-01	5.35E-01
TCGA-CV-A6JT	4.75E-01	3.01E-01	3.45E-01	7.87E-01	7.94E-01	4.92E-01	5.66E-01	5.34E-01	1.95E-01
TCGA-CV-A6JU	5.17E-01	4.51E-01	1.02E+00	6.64E-01	1.20E+00	1.17E+00	1.39E+00	1.51E+00	1.03E+00
TCGA-CV-A6JY	5.53E-01	1.79E-01	7.13E-01	1.23E+00	1.28E+00	7.93E-01	7.24E-01	8.70E-01	3.45E-01
TCGA-CV-A6JZ	7.00E-01	2.19E-01	7.51E-01	7.92E-01	1.09E+00	1.05E+00	9.88E-01	1.14E+00	9.55E-01
TCGA-CV-A6K0	1.21E-01	7.83E-02	0.00E+00	1.77E-01	1.56E-01	1.83E-01	1.48E-01	1.34E-01	9.66E-02
TCGA-CV-A6K1	1.37E+00	1.15E+00	2.28E+00	4.14E+00	4.36E+00	2.24E+00	2.63E+00	4.31E+00	1.02E+00
TCGA-CV-A6K2	1.09E+01	1.11E+01	7.32E-01	1.23E+00	4.08E+00	1.74E+00	2.19E+00	1.30E+00	3.88E-01
TCGA-CX-7082	5.22E-01	4.19E-01	4.95E-01	6.68E-01	1.00E+00	9.92E-01	9.10E-01	8.87E-01	1.04E+00
TCGA-CX-7085	1.01E+00	1.02E+00	2.40E-01	5.07E-01	5.63E-01	2.64E-01	3.58E-01	2.88E-01	2.24E-01
TCGA-CX-7086	1.20E+00	1.27E+00	1.03E+00	1.24E+00	1.57E+00	1.34E+00	1.55E+00	1.45E+00	1.47E+00
TCGA-CX-7219	8.44E-01	8.17E-01	5.95E-01	1.08E+00	1.28E+00	1.18E+00	1.02E+00	8.34E-01	5.07E-01
TCGA-CX-A4AQ	5.80E-01	5.13E-01	6.34E-01	8.75E-01	9.14E-01	1.01E+00	7.13E-01	8.46E-01	8.31E-01
TCGA-D6-6515	4.37E-01	2.14E-01	3.00E-02	6.16E-01	6.76E-01	3.74E-01	3.41E-01	4.05E-01	3.39E-01
TCGA-D6-6517	4.03E-01	2.22E-01	6.12E-01	7.13E-01	8.69E-01	7.18E-01	8.10E-01	9.31E-01	7.28E-01
TCGA-D6-6823	4.98E-01	3.67E-01	6.48E-01	6.07E-01	1.17E+00	1.15E+00	1.15E+00	9.78E-01	1.25E+00
TCGA-D6-6824	2.04E-01	5.00E-02	3.46E-01	1.04E-01	2.12E-01	3.28E-01	3.02E-01	3.24E-01	2.17E-01
TCGA-D6-6825	6.11E-01	3.48E-01	5.28E-01	1.03E+00	1.12E+00	8.70E-01	6.42E-01	6.71E-01	5.56E-01
TCGA-D6-6826	6.00E-01	7.83E-01	4.46E-01	1.10E+00	1.02E+00	8.65E-01	8.61E-01	8.40E-01	4.71E-01
TCGA-D6-6827	3.00E-02	0.00E+00	7.32E-02	2.50E-01	3.19E-01	2.34E-01	2.75E-01	3.50E-01	2.87E-01
TCGA-D6-8568	5.51E-01	6.63E-01	7.64E-01	7.77E-01	1.04E+00	8.26E-01	9.76E-01	8.25E-01	7.67E-01
TCGA-D6-8569	5.31E-01	2.53E-01	9.37E-01	8.67E-01	1.31E+00	1.31E+00	9.54E-01	1.19E+00	1.17E+00
TCGA-D6-A4Z9	4.52E-01	3.57E-01	7.60E-01	7.10E-01	9.47E-01	1.07E+00	8.71E-01	7.91E-01	1.14E+00
TCGA-D6-A4ZB	8.13E-01	8.49E-01	6.82E-01	7.12E-01	8.11E-01	7.73E-01	7.34E-01	8.05E-01	8.39E-01
TCGA-D6-A6EK	7.73E-01	3.84E-01	1.53E+00	1.36E+00	1.50E+00	1.67E+00	1.63E+00	1.52E+00	1.12E+00
TCGA-D6-A6EM	4.21E-01	1.49E-01	7.09E-01	9.35E-01	1.06E+00	9.10E-01	8.41E-01	7.19E-01	1.04E+00
TCGA-D6-A6EN	7.97E-01	6.47E-01	7.19E-01	1.26E+00	1.33E+00	9.38E-01	8.01E-01	8.36E-01	3.79E-01
TCGA-D6-A6EO	5.91E-01	4.92E-01	6.09E-01	8.50E-01	9.03E-01	1.08E+00	1.14E+00	1.00E+00	7.31E-01
TCGA-D6-A6EP	6.39E-01	5.76E-01	1.39E+00	5.92E-01	1.14E+00	1.18E+00	1.31E+00	1.06E+00	8.04E-01
TCGA-D6-A6EQ	6.87E-01	7.06E-01	6.96E-01	7.64E-01	1.08E+00	1.04E+00	6.66E-01	1.20E+00	5.37E-01
TCGA-D6-A6ES	2.06E+00	2.17E+00	8.78E-01	9.51E-01	1.37E+00	1.01E+00	1.27E+00	9.28E-01	8.15E-01
TCGA-D6-A74Q	1.80E+00	2.14E+00	2.79E+00	1.10E+00	1.89E+00	2.21E+00	2.98E+00	1.59E+00	1.24E+00
TCGA-DQ-5624	8.93E-01	8.38E-01	4.08E-02	6.28E-01	7.35E-01	5.78E-01	4.70E-01	6.15E-01	5.00E-01
TCGA-DQ-5625	1.67E+00	1.83E+00	2.61E-01	8.51E-01	1.30E+00	9.29E-01	8.85E-01	9.67E-01	1.10E+00
TCGA-DQ-5629	1.12E+00	7.66E-01	2.95E+00	1.24E+00	1.71E+00	2.48E+00	2.61E+00	2.16E+00	1.31E+00
TCGA-DQ-5630	2.88E-01	2.39E-01	2.72E-01	7.40E-01	7.70E-01	5.04E-01	4.86E-01	7.29E-01	4.89E-01
TCGA-DQ-5631	6.28E-01	5.87E-01	4.18E-01	1.11E+00	1.36E+00	1.04E+00	9.84E-01	9.77E-01	4.55E-01
