Samples	SBS96A	SBS96B
TCGA-QK-AA3J	74	68
TCGA-QK-AA3K	89	15
TCGA-RS-A6TO	90	82
TCGA-RS-A6TP	22	132
TCGA-T2-A6WX	44	180
TCGA-T2-A6WZ	77	22
TCGA-T2-A6X0	58	7
TCGA-T2-A6X2	0	431
TCGA-T3-A92M	37	342
TCGA-T3-A92N	98	88
TCGA-TN-A7HI	51	12
TCGA-TN-A7HJ	26	75
TCGA-TN-A7HL	0	759
TCGA-UF-A718	59	3
TCGA-UF-A719	115	8
TCGA-UF-A71A	189	32
TCGA-UF-A71B	123	34
TCGA-UF-A71D	454	72
TCGA-UF-A71E	172	22
TCGA-UF-A7J9	159	110
TCGA-UF-A7JA	91	96
TCGA-UF-A7JC	48	12
TCGA-UF-A7JD	109	6
TCGA-UF-A7JF	92	34
TCGA-UF-A7JH	73	11
TCGA-UF-A7JJ	53	1
TCGA-UF-A7JK	121	9
TCGA-UF-A7JO	109	69
TCGA-UF-A7JS	63	16
TCGA-UF-A7JT	83	136
TCGA-UF-A7JV	10	77
TCGA-UP-A6WW	41	4
TCGA-WA-A7GZ	120	109
TCGA-WA-A7H4	30	21
