Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-CR-5248	227	12	69	31
TCGA-CR-5249	6	2	19	6
TCGA-CR-5250	3	8	13	19
TCGA-CR-6467	3	3	39	9
TCGA-CR-6470	4	0	26	6
TCGA-CR-6471	5	28	71	44
TCGA-CR-6472	492	37	0	12
TCGA-CR-6473	36	4	53	10
TCGA-CR-6474	28	25	12	37
TCGA-CR-6477	13	7	17	41
TCGA-CR-6478	46	5	32	45
TCGA-CR-6480	96	1	25	3
TCGA-CR-6481	486	0	51	0
TCGA-CR-6482	11	7	18	7
TCGA-CR-6484	226	12	22	9
TCGA-CR-6487	66	0	67	9
TCGA-CR-6488	2	10	22	0
TCGA-CR-6491	6	12	33	77
TCGA-CR-6492	11	0	8	19
TCGA-CR-6493	5	12	16	3
TCGA-CR-7364	35	325	76	91
TCGA-CR-7365	131	24	13	31
TCGA-CR-7367	18	51	64	45
TCGA-CR-7368	122	5	34	48
TCGA-CR-7369	10	22	20	30
TCGA-CR-7370	92	436	70	17
TCGA-CR-7371	112	141	28	26
TCGA-CR-7372	0	15	33	2
TCGA-CR-7373	64	10	41	10
TCGA-CR-7374	105	184	34	39
TCGA-CR-7376	12	0	20	5
TCGA-CR-7377	18	3	45	52
TCGA-CR-7379	18	28	88	18
TCGA-CR-7380	4	10	81	0
TCGA-CR-7382	21	0	39	11
TCGA-CR-7383	6	35	46	46
TCGA-CR-7385	15	5	10	11
TCGA-CR-7386	157	4	24	3
TCGA-CR-7388	243	388	34	34
TCGA-CR-7389	0	8	31	49
TCGA-CR-7390	47	22	39	46
TCGA-CR-7391	0	0	2	0
TCGA-CR-7392	2	0	4	1
TCGA-CR-7394	51	0	54	20
TCGA-CR-7395	91	0	40	17
TCGA-CR-7397	8	0	16	8
TCGA-CR-7398	60	261	53	27
TCGA-CR-7399	54	177	54	33
TCGA-CR-7401	9	12	63	15
TCGA-CR-7404	76	0	36	3
TCGA-CV-5430	71	13	22	50
TCGA-CV-5432	22	201	40	54
TCGA-CV-5434	14	48	64	28
TCGA-CV-5435	15	33	29	51
TCGA-CV-5436	27	2	21	61
TCGA-CV-5439	8	62	7	43
TCGA-CV-5440	53	25	18	30
TCGA-CV-5441	19	333	67	22
TCGA-CV-5442	207	0	87	0
TCGA-CV-5443	6	18	33	0
TCGA-CV-5444	73	7	29	21
TCGA-CV-5966	28	11	33	56
TCGA-CV-5970	84	0	125	0
TCGA-CV-5971	1	0	8	0
TCGA-CV-5973	3	6	48	6
TCGA-CV-5976	22	6	30	27
TCGA-CV-5977	28	17	51	2
TCGA-CV-5978	14	98	31	42
TCGA-CV-5979	1	4	18	7
TCGA-CV-6003	24	12	58	2
TCGA-CV-6433	3	4	25	16
TCGA-CV-6436	14	12	58	5
TCGA-CV-6441	142	45	29	45
TCGA-CV-6933	20	12	19	70
TCGA-CV-6934	4	20	30	44
TCGA-CV-6935	59	152	21	17
TCGA-CV-6936	176	27	62	21
TCGA-CV-6937	28	20	40	44
TCGA-CV-6938	15	9	75	27
TCGA-CV-6939	2	12	12	6
TCGA-CV-6940	66	22	33	26
TCGA-CV-6941	11	42	68	42
TCGA-CV-6942	172	33	59	0
TCGA-CV-6943	28	0	12	0
TCGA-CV-6945	21	72	49	13
TCGA-CV-6948	71	51	48	42
TCGA-CV-6950	3	17	18	23
TCGA-CV-6951	49	23	31	46
TCGA-CV-6952	49	0	28	113
TCGA-CV-6953	33	22	65	6
TCGA-CV-6954	21	22	27	48
TCGA-CV-6955	15	16	39	15
TCGA-CV-6956	41	57	54	74
TCGA-CV-6959	2	26	41	0
TCGA-CV-6960	24	118	21	34
TCGA-CV-6961	604	17	20	7
TCGA-CV-6962	2	64	44	46
TCGA-CV-7089	115	2	1	50
TCGA-CV-7090	13	9	26	3
TCGA-CV-7091	26	31	34	46
TCGA-CV-7095	125	29	106	3
TCGA-CV-7097	13	9	38	27
