Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-D6-6827	0.00E+00	1.19E-01	3.14E-01	3.61E-01
TCGA-D6-8568	6.23E-01	7.18E-01	9.16E-01	9.74E-01
TCGA-D6-8569	3.30E-01	1.10E+00	1.52E+00	2.09E+00
TCGA-D6-A4Z9	4.08E-01	9.91E-01	9.72E-01	1.43E+00
TCGA-D6-A4ZB	7.02E-01	6.65E-01	1.05E+00	1.03E+00
TCGA-D6-A6EK	6.18E-01	1.44E+00	1.14E+00	1.52E+00
TCGA-D6-A6EM	4.22E-01	8.00E-01	9.99E-01	1.21E+00
TCGA-D6-A6EN	7.45E-01	6.97E-01	8.12E-01	7.23E-01
TCGA-D6-A6EO	6.24E-01	9.73E-01	9.64E-01	1.15E+00
TCGA-D6-A6EP	6.39E-01	1.27E+00	7.72E-01	1.31E+00
TCGA-D6-A6EQ	7.93E-01	7.98E-01	8.36E-01	9.73E-01
TCGA-D6-A6ES	1.65E+00	8.66E-01	1.05E+00	1.43E+00
TCGA-D6-A74Q	1.92E+00	1.86E+00	1.40E+00	1.61E+00
TCGA-DQ-5624	7.44E-01	2.20E-01	7.04E-01	7.62E-01
TCGA-DQ-5625	1.35E+00	5.85E-01	1.32E+00	1.26E+00
TCGA-DQ-5629	1.16E+00	2.10E+00	1.60E+00	1.92E+00
TCGA-DQ-5630	2.84E-01	4.60E-01	7.17E-01	7.88E-01
TCGA-DQ-5631	7.40E-01	6.16E-01	8.22E-01	6.59E-01
TCGA-DQ-7588	7.07E-01	9.27E-01	8.31E-01	1.10E+00
TCGA-DQ-7591	4.34E-01	1.75E-01	6.44E-01	5.23E-01
TCGA-DQ-7592	4.10E-01	6.44E-01	7.83E-01	8.64E-01
TCGA-DQ-7593	1.00E-02	2.96E-01	3.38E-01	3.49E-01
TCGA-DQ-7596	2.04E-01	2.02E-01	2.63E-01	2.48E-01
TCGA-F7-7848	7.80E-01	2.14E+00	1.19E+00	1.99E+00
TCGA-F7-8298	8.21E-01	6.23E-01	8.63E-01	9.64E-01
TCGA-F7-8489	7.59E-01	8.97E-01	9.54E-01	1.07E+00
TCGA-F7-A50G	7.25E-01	5.03E-01	7.56E-01	5.12E-01
TCGA-F7-A50I	6.71E-01	1.11E+00	1.04E+00	1.27E+00
TCGA-F7-A50J	9.47E-01	8.68E-01	9.50E-01	9.66E-01
TCGA-F7-A61S	4.28E-01	6.64E-01	1.09E+00	1.19E+00
TCGA-F7-A61V	8.11E-01	9.33E-01	9.67E-01	1.12E+00
TCGA-F7-A61W	3.59E-01	5.24E-01	1.04E+00	1.36E+00
TCGA-F7-A620	4.80E-01	4.47E-01	5.46E-01	6.21E-01
TCGA-F7-A622	2.38E-01	5.47E-01	6.92E-01	8.22E-01
TCGA-F7-A623	1.04E+00	9.10E-01	1.74E+00	1.51E+00
TCGA-H7-7774	5.00E-01	7.42E-01	1.07E+00	9.64E-01
TCGA-H7-8501	1.55E+00	4.96E-01	1.06E+00	1.48E+00
TCGA-H7-A6C4	7.88E-02	9.13E-02	3.14E-01	3.04E-01
TCGA-H7-A6C5	4.43E-01	9.15E-01	9.10E-01	9.88E-01
TCGA-H7-A76A	6.51E-01	3.62E-01	6.49E-01	5.13E-01
TCGA-HD-7229	7.77E-01	1.35E+00	1.14E+00	1.22E+00
TCGA-HD-7753	3.79E-01	1.03E+00	8.68E-01	1.51E+00
TCGA-HD-7754	2.01E-01	2.47E-01	5.40E-01	5.31E-01
TCGA-HD-7831	1.61E-01	4.10E-01	5.45E-01	6.14E-01
TCGA-HD-7832	7.64E-01	5.01E-01	1.13E+00	1.11E+00
TCGA-HD-8224	3.83E-01	6.36E-01	7.65E-01	7.95E-01
TCGA-HD-8314	8.91E-01	5.09E-01	6.49E-01	8.52E-01
TCGA-HD-8634	5.45E-01	5.36E-01	6.47E-01	5.42E-01
TCGA-HD-8635	1.48E+00	1.13E+00	1.18E+00	1.30E+00
TCGA-HD-A4C1	1.68E+00	8.40E-01	1.36E+00	1.62E+00
TCGA-HD-A633	1.14E+00	7.71E-01	1.02E+00	1.30E+00
TCGA-HD-A634	2.51E-01	4.71E-01	5.14E-01	2.52E-01
TCGA-HD-A6HZ	5.96E-01	6.03E-01	6.65E-01	4.15E-01
TCGA-HD-A6I0	5.00E-01	5.41E-01	7.56E-01	6.37E-01
TCGA-IQ-7630	7.93E-01	5.34E-01	9.43E-01	7.58E-01
TCGA-IQ-7631	2.47E-01	2.81E-01	4.11E-01	3.15E-01
TCGA-IQ-7632	1.16E-01	5.03E-01	7.13E-01	7.88E-01
TCGA-IQ-A61E	1.64E+00	4.85E-01	1.10E+00	1.73E+00
TCGA-IQ-A61G	5.74E-01	1.00E+00	1.01E+00	1.41E+00
TCGA-IQ-A61H	8.53E-01	7.58E-01	1.01E+00	9.33E-01
TCGA-IQ-A61I	1.72E+00	2.74E-01	1.07E+00	2.20E+00
TCGA-IQ-A61J	5.00E-02	4.04E-01	5.48E-01	4.53E-01
TCGA-IQ-A61O	1.33E-01	3.29E-01	4.43E-01	3.39E-01
TCGA-IQ-A6SG	3.74E-01	8.36E-01	9.62E-01	1.14E+00
TCGA-IQ-A6SH	4.54E-01	5.11E-01	7.48E-01	7.81E-01
TCGA-KU-A66S	1.63E+00	2.47E+00	1.75E+00	2.27E+00
TCGA-KU-A66T	5.15E-01	9.50E-01	9.52E-01	1.04E+00
TCGA-KU-A6H7	1.53E+00	1.90E-01	7.80E-01	1.55E+00
TCGA-KU-A6H8	1.02E-01	3.26E-01	4.18E-01	5.24E-01
TCGA-MT-A51W	5.68E-01	5.38E-01	5.92E-01	7.50E-01
TCGA-MT-A51X	2.46E-01	1.65E-01	5.73E-01	5.47E-01
TCGA-MT-A67A	5.22E-01	7.78E-01	9.26E-01	9.70E-01
TCGA-MT-A67D	4.34E-01	6.40E-01	1.04E+00	1.17E+00
TCGA-MT-A67F	3.29E+00	2.00E-02	9.92E-01	3.58E+00
TCGA-MT-A7BN	4.15E-01	6.32E-01	6.24E-01	6.93E-01
TCGA-MZ-A5BI	2.92E-01	3.10E-01	4.70E-01	3.10E-01
TCGA-MZ-A6I9	3.44E-01	3.98E-01	4.85E-01	5.04E-01
TCGA-MZ-A7D7	7.65E-01	9.71E-01	1.09E+00	1.30E+00
TCGA-P3-A5Q5	2.67E+00	6.53E-01	1.21E+00	2.95E+00
TCGA-P3-A5Q6	6.37E-01	1.19E+00	1.15E+00	1.37E+00
TCGA-P3-A5QA	1.26E-01	6.10E-01	6.05E-01	3.49E-01
TCGA-P3-A5QE	3.84E-01	3.99E-01	5.12E-01	3.37E-01
TCGA-P3-A5QF	3.74E+00	7.37E-02	1.26E+00	4.02E+00
TCGA-P3-A6SW	6.47E-01	6.05E-01	7.29E-01	8.39E-01
TCGA-P3-A6SX	8.05E-01	1.34E+00	1.56E+00	2.19E+00
TCGA-P3-A6T0	4.40E-01	4.55E-01	9.81E-01	9.20E-01
TCGA-P3-A6T2	6.36E-01	6.45E-01	7.69E-01	5.99E-01
TCGA-P3-A6T3	1.02E+00	4.65E-01	7.04E-01	1.02E+00
TCGA-P3-A6T4	1.09E+00	9.39E-01	8.84E-01	1.18E+00
TCGA-P3-A6T5	1.41E+00	8.65E-01	1.30E+00	1.29E+00
TCGA-P3-A6T6	9.95E-01	1.21E+00	8.03E-01	1.14E+00
TCGA-P3-A6T7	8.33E-01	7.04E-01	1.28E+00	1.49E+00
TCGA-P3-A6T8	3.83E-01	6.24E-01	1.07E+00	1.39E+00
TCGA-QK-A64Z	7.46E-01	4.46E-01	6.60E-01	6.03E-01
TCGA-QK-A652	2.43E-01	5.37E-01	5.89E-01	6.30E-01
TCGA-QK-A6IF	2.32E-01	2.29E-01	3.84E-01	2.33E-01
TCGA-QK-A6IG	7.33E-01	5.23E-01	8.03E-01	5.90E-01
TCGA-QK-A6IH	6.39E-01	5.23E-01	7.63E-01	7.19E-01
TCGA-QK-A6II	1.28E+00	6.76E-01	1.32E+00	1.10E+00
TCGA-QK-A6IJ	7.02E-02	5.66E-01	6.14E-01	5.58E-01
TCGA-QK-A6V9	5.38E-01	4.05E-01	7.21E-01	5.48E-01
TCGA-QK-A6VB	2.81E-01	1.91E+00	2.71E+00	2.76E+00
TCGA-QK-A6VC	1.52E+00	8.71E-01	8.39E-01	1.22E+00
TCGA-QK-A8Z7	4.13E-01	1.12E+00	1.20E+00	1.36E+00
TCGA-QK-A8Z8	9.16E-01	2.19E+00	1.55E+00	2.16E+00
TCGA-QK-A8Z9	7.61E-01	8.12E-01	1.40E+00	1.52E+00
TCGA-QK-A8ZA	7.73E-01	9.13E-01	1.04E+00	1.23E+00
TCGA-QK-A8ZB	7.60E-01	8.45E-01	1.01E+00	1.04E+00
TCGA-QK-AA3J	1.09E+00	6.87E-01	1.26E+00	1.17E+00
TCGA-QK-AA3K	5.14E-01	9.15E-01	8.04E-01	1.24E+00
TCGA-RS-A6TO	1.25E+00	9.04E-01	1.13E+00	9.55E-01
TCGA-RS-A6TP	1.16E+00	2.77E-01	8.72E-01	1.18E+00
TCGA-T2-A6WX	1.74E+00	5.96E-01	1.00E+00	1.92E+00
TCGA-T2-A6WZ	5.78E-01	8.24E-01	1.02E+00	1.12E+00
TCGA-T2-A6X0	1.74E-01	4.27E-01	6.26E-01	5.86E-01
TCGA-T2-A6X2	3.66E+00	8.19E-01	1.12E+00	3.78E+00
TCGA-T3-A92M	2.55E+00	1.06E+00	1.28E+00	1.72E+00
TCGA-T3-A92N	1.22E+00	8.00E-01	1.39E+00	1.18E+00
TCGA-TN-A7HI	3.83E-01	4.55E-01	5.80E-01	4.23E-01
TCGA-TN-A7HJ	8.83E-01	6.84E-01	8.11E-01	8.55E-01
TCGA-TN-A7HL	7.56E+00	7.60E-01	1.60E+00	7.94E+00
TCGA-UF-A718	2.15E-01	6.98E-01	6.42E-01	7.76E-01
TCGA-UF-A719	3.14E-01	9.95E-01	1.06E+00	1.29E+00
TCGA-UF-A71A	7.82E-01	1.18E+00	1.83E+00	2.27E+00
TCGA-UF-A71B	7.59E-01	9.24E-01	1.54E+00	1.64E+00
TCGA-UF-A71D	1.27E+00	2.37E+00	2.04E+00	2.36E+00
TCGA-UF-A71E	5.76E-01	1.03E+00	1.19E+00	1.25E+00
TCGA-UF-A7J9	1.34E+00	1.44E+00	1.40E+00	1.30E+00
TCGA-UF-A7JA	1.10E+00	1.23E+00	1.06E+00	1.23E+00
TCGA-UF-A7JC	4.35E-01	5.67E-01	6.18E-01	7.61E-01
TCGA-UF-A7JD	3.18E-01	9.96E-01	1.02E+00	1.46E+00
TCGA-UF-A7JF	7.90E-01	1.10E+00	8.80E-01	1.07E+00
TCGA-UF-A7JH	5.00E-01	6.47E-01	7.15E-01	5.57E-01
TCGA-UF-A7JJ	1.98E-01	7.55E-01	4.32E-01	9.07E-01
TCGA-UF-A7JK	3.68E-01	7.70E-01	9.81E-01	1.13E+00
TCGA-UF-A7JO	9.48E-01	7.37E-01	1.04E+00	8.47E-01
TCGA-UF-A7JS	6.09E-01	7.45E-01	7.34E-01	6.69E-01
TCGA-UF-A7JT	1.64E+00	7.15E-01	1.29E+00	1.68E+00
TCGA-UF-A7JV	8.22E-01	4.75E-01	5.82E-01	7.95E-01
TCGA-UP-A6WW	1.66E-01	4.07E-01	5.53E-01	5.24E-01
TCGA-WA-A7GZ	1.04E+00	9.64E-01	1.27E+00	1.11E+00
TCGA-WA-A7H4	4.05E-01	4.31E-01	5.94E-01	6.13E-01
