Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-CN-5369	1.35E+00	9.59E-01	1.57E+00	1.27E+00
TCGA-CN-5370	7.27E-01	5.14E-01	8.72E-01	7.74E-01
TCGA-CN-5373	6.77E-01	8.72E-01	1.24E+00	1.32E+00
TCGA-CN-5374	1.25E+00	4.67E-01	1.03E+00	1.22E+00
TCGA-CN-6010	3.69E-01	9.42E-01	1.09E+00	1.22E+00
TCGA-CN-6011	3.21E+00	8.91E-01	1.20E+00	2.59E+00
TCGA-CN-6012	7.31E-01	9.28E-01	8.05E-01	8.39E-01
TCGA-CN-6013	1.95E+00	1.59E-01	1.14E+00	2.10E+00
TCGA-CN-6016	8.00E-01	3.29E-01	1.15E+00	1.05E+00
TCGA-CN-6018	7.12E-01	4.88E-01	8.67E-01	7.12E-01
TCGA-CN-6019	5.47E-01	1.33E+00	1.03E+00	1.47E+00
TCGA-CN-6020	7.32E-01	8.00E-01	8.73E-01	9.66E-01
TCGA-CN-6021	1.04E+00	1.61E+00	1.36E+00	1.65E+00
TCGA-CN-6022	6.13E-01	7.01E-01	6.51E-01	6.78E-01
TCGA-CN-6023	6.90E-01	1.04E+00	8.08E-01	1.19E+00
TCGA-CN-6024	6.69E-01	1.36E+00	1.50E+00	2.03E+00
TCGA-CN-6988	5.11E-01	1.31E+00	1.12E+00	1.19E+00
TCGA-CN-6989	7.85E-01	7.49E-01	8.59E-01	9.29E-01
TCGA-CN-6992	8.75E-01	1.71E+00	1.57E+00	1.29E+00
TCGA-CN-6994	8.69E-01	7.38E-01	8.81E-01	7.41E-01
TCGA-CN-6995	7.76E-01	1.67E+00	1.30E+00	1.82E+00
TCGA-CN-6996	5.01E-01	2.69E-01	7.60E-01	7.13E-01
TCGA-CN-6997	7.59E-01	1.05E+00	1.06E+00	1.23E+00
TCGA-CN-6998	6.63E-01	3.76E-01	6.96E-01	5.56E-01
TCGA-CN-A497	7.79E-01	2.07E+00	1.25E+00	1.99E+00
TCGA-CN-A498	7.47E-01	8.86E-01	9.03E-01	1.05E+00
TCGA-CN-A499	1.65E-01	1.95E-01	3.62E-01	3.04E-01
TCGA-CN-A49A	1.01E+00	8.10E-01	8.87E-01	9.49E-01
TCGA-CN-A49B	8.21E-01	3.57E-01	9.52E-01	8.98E-01
TCGA-CN-A49C	3.81E-01	1.64E-01	4.78E-01	3.60E-01
TCGA-CN-A63T	8.69E-01	1.62E+00	1.22E+00	1.71E+00
TCGA-CN-A63U	8.59E-01	3.07E+00	2.11E+00	3.79E+00
TCGA-CN-A63V	3.23E-01	8.47E-01	8.54E-01	7.37E-01
TCGA-CN-A63W	1.05E+00	2.15E+00	1.73E+00	2.03E+00
TCGA-CN-A641	7.63E-01	1.66E+00	1.18E+00	1.40E+00
TCGA-CN-A642	5.07E-01	2.83E-01	6.52E-01	5.56E-01
TCGA-CN-A6UY	3.64E-01	5.62E-01	5.56E-01	4.70E-01
TCGA-CN-A6V1	1.31E+00	1.71E-01	7.03E-01	1.33E+00
TCGA-CN-A6V3	7.43E-01	1.66E+00	1.05E+00	1.66E+00
TCGA-CN-A6V6	5.58E-01	5.46E-01	1.02E+00	1.01E+00
TCGA-CN-A6V7	5.57E-01	2.19E-01	6.69E-01	3.69E-01
TCGA-CQ-5323	2.21E-01	4.72E-01	5.80E-01	4.92E-01
TCGA-CQ-5324	5.09E-01	3.94E-01	6.92E-01	6.31E-01
TCGA-CQ-5325	4.19E-01	3.63E-01	7.86E-01	8.52E-01
TCGA-CQ-5326	1.53E+00	5.57E-01	1.21E+00	1.25E+00
TCGA-CQ-5327	2.00E+00	4.82E-01	1.22E+00	2.19E+00
TCGA-CQ-5329	3.83E-02	3.08E-01	4.10E-01	3.68E-01
TCGA-CQ-5330	2.16E-01	3.14E-01	5.47E-01	5.52E-01
TCGA-CQ-5331	1.36E+00	7.65E-01	7.40E-01	1.31E+00
TCGA-CQ-5332	5.83E-01	1.11E+00	1.24E+00	1.59E+00
TCGA-CQ-5333	1.47E+00	8.34E-01	1.20E+00	1.56E+00
TCGA-CQ-5334	1.27E+00	6.88E-01	1.04E+00	9.99E-01
TCGA-CQ-6218	9.45E-01	7.67E-01	1.05E+00	9.72E-01
TCGA-CQ-6219	4.61E-01	4.55E-02	7.11E-01	7.40E-01
TCGA-CQ-6220	7.32E-01	4.72E-01	9.02E-01	8.45E-01
TCGA-CQ-6221	8.57E-01	8.91E-01	7.13E-01	1.07E+00
TCGA-CQ-6222	2.37E-01	3.77E-01	5.08E-01	4.72E-01
TCGA-CQ-6223	3.26E-01	6.78E-01	7.87E-01	7.54E-01
TCGA-CQ-6224	3.56E-01	2.70E-01	5.15E-01	3.62E-01
TCGA-CQ-6225	7.26E-01	1.11E+00	1.20E+00	1.59E+00
