Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-CQ-6220	44	6	9	39	0	20
TCGA-CQ-6221	63	7	1	6	33	11
TCGA-CQ-6222	1	3	4	22	13	3
TCGA-CQ-6223	2	2	11	32	49	0
TCGA-CQ-6224	0	8	0	33	13	4
TCGA-CQ-6225	25	0	20	27	30	44
TCGA-CQ-6227	9	0	6	26	5	1
TCGA-CQ-6228	5	5	2	16	53	25
TCGA-CQ-6229	0	2	7	20	0	0
TCGA-CQ-7063	65	19	0	31	16	11
TCGA-CQ-7065	0	9	0	8	14	2
TCGA-CQ-7068	25	33	3	34	22	0
TCGA-CQ-7069	77	9	4	8	0	5
TCGA-CQ-7071	340	165	20	3	0	0
TCGA-CQ-7072	1	13	24	10	36	40
TCGA-CQ-A4C6	41	23	1	21	36	4
TCGA-CQ-A4C7	1	18	4	9	0	15
TCGA-CQ-A4C9	13	14	9	32	6	17
TCGA-CQ-A4CB	13	19	0	18	20	23
TCGA-CQ-A4CD	101	0	14	39	1	11
TCGA-CQ-A4CE	5	5	0	21	34	0
TCGA-CQ-A4CG	2	14	19	26	31	0
TCGA-CQ-A4CH	0	0	0	2	1	3
TCGA-CQ-A4CI	10	2	17	46	42	3
TCGA-CR-5243	16	4	3	24	20	0
TCGA-CR-5247	2	5	9	27	2	30
TCGA-CR-5248	141	153	3	34	0	8
TCGA-CR-5249	4	5	2	16	0	6
TCGA-CR-5250	1	5	8	11	0	18
TCGA-CR-6467	2	6	1	31	7	7
TCGA-CR-6470	3	6	0	22	0	5
TCGA-CR-6471	0	19	17	52	27	33
TCGA-CR-6472	351	183	7	0	0	0
TCGA-CR-6473	21	30	0	38	11	3
TCGA-CR-6474	23	8	5	1	51	14
TCGA-CR-6477	6	17	8	13	0	34
TCGA-CR-6478	1	85	0	1	24	17
TCGA-CR-6480	37	88	0	0	0	0
TCGA-CR-6481	203	334	0	0	0	0
TCGA-CR-6482	8	6	0	11	18	0
TCGA-CR-6484	181	64	3	20	0	1
TCGA-CR-6487	45	42	0	52	0	3
TCGA-CR-6488	0	4	4	15	11	0
TCGA-CR-6491	3	14	11	27	10	63
TCGA-CR-6492	4	14	0	5	0	15
TCGA-CR-6493	3	3	2	8	20	0
TCGA-CR-7364	27	28	297	74	7	94
TCGA-CR-7365	104	40	9	7	28	11
TCGA-CR-7367	7	28	34	42	42	25
TCGA-CR-7368	83	70	3	22	0	31
TCGA-CR-7369	3	16	22	16	0	25
TCGA-CR-7370	65	57	398	68	0	27
TCGA-CR-7371	104	15	127	35	0	26
TCGA-CR-7372	0	1	9	26	13	1
TCGA-CR-7373	52	19	2	31	19	2
TCGA-CR-7374	76	58	164	27	8	29
TCGA-CR-7376	14	0	0	18	0	5
TCGA-CR-7377	8	26	5	35	0	44
TCGA-CR-7379	9	23	10	61	48	1
TCGA-CR-7380	3	11	10	67	0	4
TCGA-CR-7382	18	9	0	34	0	10
TCGA-CR-7383	3	11	22	32	35	30
TCGA-CR-7385	10	11	1	5	11	3
TCGA-CR-7386	106	72	0	10	0	0
TCGA-CR-7388	193	74	289	12	131	0
TCGA-CR-7389	0	0	4	25	21	38
TCGA-CR-7390	34	24	0	18	59	19
TCGA-CR-7391	1	0	0	1	0	0
TCGA-CR-7392	0	5	0	2	0	0
TCGA-CR-7394	15	69	0	31	0	10
TCGA-CR-7395	25	117	0	6	0	0
TCGA-CR-7397	4	8	0	9	8	3
TCGA-CR-7398	35	50	237	48	0	31
TCGA-CR-7399	33	43	151	40	27	24
TCGA-CR-7401	8	7	0	45	32	7
TCGA-CR-7404	40	58	0	17	0	0
TCGA-CV-5430	46	42	0	8	33	27
TCGA-CV-5432	21	6	161	27	72	30
TCGA-CV-5434	11	14	46	54	0	29
TCGA-CV-5435	3	24	7	6	66	22
TCGA-CV-5436	15	28	2	13	9	44
TCGA-CV-5439	0	18	52	0	23	27
TCGA-CV-5440	42	15	9	9	35	16
TCGA-CV-5441	10	23	294	59	32	23
TCGA-CV-5442	95	168	0	31	0	0
TCGA-CV-5443	0	12	15	27	3	0
TCGA-CV-5444	53	37	6	21	0	13
TCGA-CV-5966	14	28	0	15	40	31
TCGA-CV-5970	62	44	0	103	0	0
TCGA-CV-5971	0	3	0	6	0	0
TCGA-CV-5973	4	4	6	42	0	7
TCGA-CV-5976	10	25	6	22	0	22
TCGA-CV-5977	28	5	14	43	7	1
TCGA-CV-5978	5	20	67	14	56	23
TCGA-CV-5979	2	0	2	16	6	4
TCGA-CV-6003	11	27	7	44	7	0
TCGA-CV-6433	1	6	4	22	0	15
TCGA-CV-6436	9	16	10	45	3	6
TCGA-CV-6441	121	37	36	29	7	31
TCGA-CV-6933	15	16	13	17	4	56
TCGA-CV-6934	6	1	3	16	52	20
TCGA-CV-6935	36	40	129	11	26	7
TCGA-CV-6936	102	132	20	30	0	2
TCGA-CV-6937	8	37	0	16	55	16
TCGA-CV-6938	15	8	8	64	4	27
