Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-CN-A641	0	26	108	9	47	56	0	0
TCGA-CN-A642	13	17	3	43	0	0	0	7
TCGA-CN-A6UY	1	3	1	8	8	8	17	0
TCGA-CN-A6V1	26	58	0	2	2	0	15	5
TCGA-CN-A6V3	13	17	118	26	19	36	0	36
TCGA-CN-A6V6	1	21	0	30	0	20	8	2
TCGA-CN-A6V7	8	16	0	26	0	5	3	0
TCGA-CQ-5323	0	7	4	22	10	4	2	4
TCGA-CQ-5324	5	11	0	23	19	0	14	0
TCGA-CQ-5325	1	4	0	0	7	8	14	11
TCGA-CQ-5326	107	64	7	30	0	0	18	24
TCGA-CQ-5327	88	111	0	46	0	0	13	0
TCGA-CQ-5329	0	1	2	10	14	0	4	0
TCGA-CQ-5330	0	8	3	22	1	0	14	14
TCGA-CQ-5331	75	49	6	9	14	0	3	0
TCGA-CQ-5332	8	17	10	38	27	29	22	4
TCGA-CQ-5333	49	68	2	42	0	57	0	3
TCGA-CQ-5334	55	31	4	33	64	0	0	0
TCGA-CQ-6218	31	33	14	38	0	6	1	27
TCGA-CQ-6219	13	6	0	13	0	0	5	18
TCGA-CQ-6220	36	13	6	27	17	0	8	11
TCGA-CQ-6221	52	18	0	10	0	30	0	11
TCGA-CQ-6222	1	2	4	18	9	5	5	2
TCGA-CQ-6223	3	1	11	20	29	7	25	0
TCGA-CQ-6224	0	6	0	27	0	12	9	4
TCGA-CQ-6225	21	4	15	14	52	10	0	30
TCGA-CQ-6227	7	2	1	22	0	11	4	0
TCGA-CQ-6228	6	0	2	0	61	0	30	7
TCGA-CQ-6229	0	2	5	14	0	1	7	0
TCGA-CQ-7063	49	21	0	11	61	0	0	0
TCGA-CQ-7065	0	4	0	2	25	0	2	0
TCGA-CQ-7068	21	25	5	27	11	1	27	0
TCGA-CQ-7069	61	19	1	2	0	0	20	0
TCGA-CQ-7071	280	175	22	12	0	14	25	0
TCGA-CQ-7072	3	6	24	0	21	0	44	26
TCGA-CQ-A4C6	33	22	0	17	0	26	25	3
TCGA-CQ-A4C7	0	11	2	5	14	0	5	10
TCGA-CQ-A4C9	10	12	2	22	0	15	20	10
TCGA-CQ-A4CB	11	12	0	7	24	0	28	11
TCGA-CQ-A4CD	84	20	9	33	0	11	0	9
TCGA-CQ-A4CE	4	4	0	14	30	5	8	0
TCGA-CQ-A4CG	1	9	16	20	31	11	4	0
TCGA-CQ-A4CH	0	0	0	0	0	0	4	2
TCGA-CQ-A4CI	9	4	16	36	32	15	8	0
TCGA-CR-5243	13	6	0	18	14	10	6	0
TCGA-CR-5247	1	4	5	17	26	0	0	22
TCGA-CR-5248	113	123	1	30	29	7	31	5
TCGA-CR-5249	3	5	3	15	0	0	1	6
TCGA-CR-5250	1	4	5	11	0	7	0	15
TCGA-CR-6467	2	4	0	19	0	0	28	1
TCGA-CR-6470	2	4	0	12	18	0	0	0
TCGA-CR-6471	0	12	6	41	0	34	32	23
TCGA-CR-6472	292	203	10	0	0	35	0	1
TCGA-CR-6473	15	21	0	20	47	0	0	0
TCGA-CR-6474	20	8	5	0	28	21	9	11
TCGA-CR-6477	5	11	7	7	9	0	14	25
TCGA-CR-6478	2	50	0	0	14	1	50	11
TCGA-CR-6480	31	73	4	13	0	1	0	3
TCGA-CR-6481	188	337	0	12	0	0	0	0
TCGA-CR-6482	7	5	2	10	2	5	12	0
TCGA-CR-6484	148	77	4	20	11	3	0	6
TCGA-CR-6487	34	36	0	37	29	0	6	0
TCGA-CR-6488	0	3	2	13	0	10	6	0
TCGA-CR-6491	3	9	6	17	15	11	21	46
TCGA-CR-6492	3	11	0	6	0	0	4	14
TCGA-CR-6493	2	4	0	9	0	21	0	0
TCGA-CR-7364	21	24	234	46	0	77	59	66
TCGA-CR-7365	88	47	12	11	4	15	11	11
TCGA-CR-7367	7	17	31	23	62	0	26	12
TCGA-CR-7368	68	61	5	19	4	0	25	27
TCGA-CR-7369	2	12	21	13	4	2	8	20
TCGA-CR-7370	50	52	333	49	0	75	37	19
TCGA-CR-7371	87	30	110	22	0	0	40	18
TCGA-CR-7372	0	2	3	23	0	20	0	2
TCGA-CR-7373	40	22	0	18	45	0	0	0
TCGA-CR-7374	63	50	142	19	0	20	46	22
TCGA-CR-7376	12	1	0	15	0	0	7	2
TCGA-CR-7377	6	19	2	25	0	0	33	33
TCGA-CR-7379	8	16	13	44	48	0	23	0
TCGA-CR-7380	1	8	5	49	32	0	0	0
