Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-IQ-A6SG	2.86E-01	6.73E-01	8.95E-01	1.08E+00	1.12E+00	9.59E-01	1.19E+00	9.41E-01
TCGA-IQ-A6SH	3.72E-01	4.90E-01	3.59E-01	9.40E-01	1.00E+00	6.81E-01	9.68E-01	7.02E-01
TCGA-KU-A66S	3.42E+00	1.02E+00	6.51E+00	1.67E+00	3.60E+00	8.62E+00	3.19E+00	1.35E+00
TCGA-KU-A66T	5.77E-01	5.42E-01	8.71E-01	1.29E+00	1.20E+00	1.03E+00	1.32E+00	6.22E-01
TCGA-KU-A6H7	2.53E+00	2.59E+00	1.41E-01	6.01E-01	6.59E-01	4.64E-01	5.40E-01	3.79E-01
TCGA-KU-A6H8	9.98E-02	7.65E-02	2.45E-01	3.34E-01	4.93E-01	2.87E-01	3.26E-01	4.30E-01
TCGA-MT-A51W	7.34E-01	7.38E-01	4.46E-01	3.21E-01	7.02E-01	5.55E-01	6.96E-01	7.01E-01
TCGA-MT-A51X	2.12E-01	4.71E-01	1.37E-01	1.04E+00	9.36E-01	3.72E-01	1.00E+00	3.64E-01
TCGA-MT-A67A	3.98E-01	5.74E-01	4.26E-01	1.37E+00	1.27E+00	8.87E-01	1.26E+00	7.67E-01
TCGA-MT-A67D	1.34E-01	7.86E-01	4.68E-01	1.18E+00	1.35E+00	7.30E-01	1.29E+00	9.42E-01
TCGA-MT-A67F	5.81E+00	5.86E+00	1.09E-01	9.57E-01	1.12E+00	3.82E-01	8.52E-01	3.32E-01
TCGA-MT-A7BN	3.04E-01	4.23E-01	5.44E-01	9.24E-01	7.75E-01	7.91E-01	8.08E-01	4.65E-01
TCGA-MZ-A5BI	2.84E-01	2.96E-01	2.83E-01	5.70E-01	4.39E-01	3.13E-01	6.45E-01	2.04E-01
TCGA-MZ-A6I9	2.70E-01	3.04E-01	2.47E-01	4.79E-01	6.04E-01	5.13E-01	3.25E-01	3.22E-01
TCGA-MZ-A7D7	9.72E-01	1.05E+00	6.38E-01	6.31E-01	1.18E+00	1.07E+00	9.86E-01	1.01E+00
TCGA-P3-A5Q5	4.94E+00	4.87E+00	4.87E-01	1.20E+00	1.36E+00	9.77E-01	8.51E-01	4.63E-01
TCGA-P3-A5Q6	6.04E-01	8.47E-01	8.40E-01	9.10E-01	1.26E+00	1.27E+00	1.38E+00	1.11E+00
TCGA-P3-A5QA	2.93E-02	4.66E-01	5.14E-01	1.06E+00	9.96E-01	7.05E-01	1.05E+00	6.97E-02
TCGA-P3-A5QE	3.63E-01	3.80E-01	3.36E-01	6.76E-01	5.53E-01	4.63E-01	5.49E-01	2.62E-01
TCGA-P3-A5QF	7.86E+00	7.81E+00	4.64E-02	9.31E-01	1.29E+00	7.89E-01	9.44E-01	9.82E-02
TCGA-P3-A6SW	5.54E-01	7.26E-01	2.99E-01	8.29E-01	9.14E-01	6.28E-01	7.77E-01	5.49E-01
TCGA-P3-A6SX	8.58E-01	8.45E-01	1.23E+00	1.16E+00	1.68E+00	1.54E+00	1.44E+00	1.37E+00
TCGA-P3-A6T0	3.77E-01	8.57E-01	1.15E-01	1.52E+00	1.32E+00	8.89E-01	1.27E+00	6.59E-01
TCGA-P3-A6T2	5.83E-01	7.89E-01	7.31E-01	7.42E-01	7.92E-01	9.11E-01	5.87E-01	4.18E-01
TCGA-P3-A6T3	1.57E+00	1.54E+00	3.33E-01	8.96E-01	1.04E+00	6.57E-01	6.37E-01	2.74E-01
TCGA-P3-A6T4	1.30E+00	1.51E+00	6.12E-01	6.37E-01	1.07E+00	1.21E+00	8.48E-01	9.61E-01
TCGA-P3-A6T5	2.02E+00	1.96E+00	7.36E-01	1.17E+00	1.43E+00	9.65E-01	1.36E+00	9.56E-01
TCGA-P3-A6T6	1.32E+00	1.31E+00	1.07E+00	7.68E-01	1.02E+00	1.27E+00	7.73E-01	7.26E-01
TCGA-P3-A6T7	1.02E+00	9.48E-01	4.58E-01	1.19E+00	1.38E+00	1.24E+00	1.33E+00	1.18E+00
TCGA-P3-A6T8	3.86E-01	6.98E-01	1.86E-01	9.62E-01	1.07E+00	8.19E-01	1.20E+00	1.04E+00
TCGA-QK-A64Z	9.80E-01	9.51E-01	3.94E-01	6.75E-01	5.33E-01	4.75E-01	8.05E-01	5.59E-01
TCGA-QK-A652	1.93E-01	4.00E-01	5.34E-01	5.95E-01	6.09E-01	5.49E-01	5.95E-01	3.34E-01
TCGA-QK-A6IF	7.53E-02	3.49E-01	1.39E-01	6.23E-01	5.12E-01	1.98E-01	4.87E-01	1.12E-01
TCGA-QK-A6IG	1.12E+00	1.19E+00	4.75E-01	1.12E+00	1.05E+00	6.83E-01	1.14E+00	3.56E-01
TCGA-QK-A6IH	5.75E-01	6.51E-01	3.12E-01	8.56E-01	8.53E-01	6.81E-01	7.42E-01	6.24E-01
TCGA-QK-A6II	2.11E+00	2.14E+00	6.03E-01	9.86E-01	1.17E+00	9.56E-01	1.14E+00	1.07E+00
TCGA-QK-A6IJ	2.67E-01	4.33E-01	3.18E-01	8.02E-01	9.21E-01	7.23E-01	6.49E-01	4.19E-01
TCGA-QK-A6V9	4.08E-01	6.07E-01	2.92E-01	1.20E+00	9.56E-01	6.30E-01	8.71E-01	4.03E-01
TCGA-QK-A6VB	4.23E-01	1.70E+00	3.15E+00	6.11E+00	4.59E+00	2.53E+00	7.62E+00	2.08E+00
TCGA-QK-A6VC	2.02E+00	1.98E+00	6.32E-01	6.62E-01	1.21E+00	1.29E+00	8.18E-01	7.12E-01
TCGA-QK-A8Z7	4.24E-01	8.22E-01	1.20E+00	1.64E+00	1.59E+00	1.34E+00	1.70E+00	9.79E-01
TCGA-QK-A8Z8	8.54E-01	1.01E+00	3.76E+00	1.40E+00	2.50E+00	4.40E+00	1.96E+00	1.58E+00
TCGA-QK-A8Z9	6.17E-01	8.88E-01	6.19E-01	1.07E+00	1.38E+00	1.20E+00	1.39E+00	1.30E+00
TCGA-QK-A8ZA	8.95E-01	7.76E-01	1.02E+00	8.72E-01	1.18E+00	1.24E+00	8.38E-01	9.61E-01
TCGA-QK-A8ZB	7.09E-01	8.79E-01	6.84E-01	9.73E-01	1.07E+00	9.74E-01	1.06E+00	7.31E-01
TCGA-QK-AA3J	1.16E+00	1.25E+00	4.51E-01	8.06E-01	9.78E-01	9.96E-01	7.63E-01	1.05E+00
TCGA-QK-AA3K	3.87E-01	5.76E-01	7.53E-01	8.42E-01	1.02E+00	9.17E-01	1.12E+00	9.86E-01
TCGA-RS-A6TO	1.34E+00	1.30E+00	7.60E-01	1.39E+00	1.45E+00	9.63E-01	9.90E-01	8.00E-01
TCGA-RS-A6TP	2.04E+00	2.23E+00	1.51E-01	8.70E-01	9.03E-01	5.82E-01	8.43E-01	2.76E-01
TCGA-T2-A6WX	3.15E+00	3.13E+00	4.98E-01	1.15E+00	1.15E+00	5.30E-01	1.11E+00	4.03E-01
TCGA-T2-A6WZ	5.65E-01	5.30E-01	6.00E-01	7.67E-01	1.02E+00	7.69E-01	7.98E-01	8.04E-01
TCGA-T2-A6X0	1.37E-01	4.76E-01	3.58E-01	1.06E+00	8.10E-01	3.80E-01	9.44E-01	4.50E-01
TCGA-T2-A6X2	6.66E+00	6.48E+00	7.03E-01	1.06E+00	1.93E+00	1.39E+00	1.09E+00	4.93E-01
TCGA-T3-A92M	4.48E+00	4.93E+00	1.04E+00	1.07E+00	1.49E+00	1.58E+00	1.06E+00	9.84E-01
TCGA-T3-A92N	1.44E+00	1.41E+00	5.44E-01	1.44E+00	1.48E+00	1.11E+00	1.19E+00	1.15E+00
TCGA-TN-A7HI	1.75E-01	5.83E-01	4.77E-01	9.65E-01	8.13E-01	5.07E-01	6.71E-01	1.61E-01
TCGA-TN-A7HJ	1.16E+00	1.15E+00	5.60E-01	6.97E-01	8.49E-01	6.74E-01	7.56E-01	2.98E-01
TCGA-TN-A7HL	1.43E+01	1.42E+01	6.32E-01	1.71E+00	2.47E+00	8.67E-01	8.54E-01	5.27E-01
TCGA-UF-A718	2.48E-01	3.55E-01	7.63E-01	7.16E-01	9.30E-01	9.70E-01	6.46E-01	5.15E-01
TCGA-UF-A719	2.62E-01	6.74E-01	8.76E-01	1.04E+00	1.44E+00	1.07E+00	1.14E+00	9.61E-01
TCGA-UF-A71A	8.32E-01	1.24E+00	1.11E+00	1.37E+00	1.69E+00	1.63E+00	1.58E+00	1.76E+00
TCGA-UF-A71B	6.52E-01	7.31E-01	5.98E-01	9.92E-01	1.47E+00	1.35E+00	1.41E+00	1.38E+00
TCGA-UF-A71D	1.17E+00	1.38E+00	3.37E+00	1.91E+00	2.94E+00	3.54E+00	2.98E+00	2.25E+00
TCGA-UF-A71E	5.32E-01	1.12E+00	1.19E+00	1.51E+00	1.68E+00	1.34E+00	1.40E+00	1.29E+00
TCGA-UF-A7J9	1.78E+00	1.54E+00	1.61E+00	1.05E+00	1.45E+00	1.78E+00	1.28E+00	1.17E+00
TCGA-UF-A7JA	1.44E+00	1.47E+00	1.01E+00	7.88E-01	1.20E+00	1.10E+00	1.33E+00	1.14E+00
TCGA-UF-A7JC	3.48E-01	4.94E-01	5.61E-01	5.71E-01	7.26E-01	5.98E-01	6.97E-01	6.69E-01
TCGA-UF-A7JD	2.98E-01	5.68E-01	9.29E-01	1.06E+00	1.35E+00	1.17E+00	1.02E+00	1.03E+00
TCGA-UF-A7JF	6.37E-01	7.89E-01	1.08E+00	7.09E-01	1.08E+00	1.31E+00	8.10E-01	9.23E-01
TCGA-UF-A7JH	3.76E-01	5.26E-01	7.28E-01	9.72E-01	1.00E+00	7.35E-01	8.61E-01	4.42E-01
TCGA-UF-A7JJ	1.51E-01	1.67E-01	7.63E-01	3.27E-01	7.21E-01	7.58E-01	7.00E-01	7.21E-01
TCGA-UF-A7JK	3.19E-01	5.48E-01	8.30E-01	1.03E+00	1.18E+00	9.07E-01	1.25E+00	1.02E+00
TCGA-UF-A7JO	1.28E+00	1.27E+00	5.76E-01	1.38E+00	1.34E+00	9.01E-01	1.19E+00	6.26E-01
TCGA-UF-A7JS	6.05E-01	4.72E-01	7.69E-01	7.02E-01	7.61E-01	9.54E-01	7.37E-01	4.85E-01
TCGA-UF-A7JT	2.52E+00	2.23E+00	7.65E-01	1.50E+00	1.54E+00	1.38E+00	1.07E+00	1.46E-01
TCGA-UF-A7JV	1.06E+00	1.11E+00	3.25E-01	4.65E-01	7.79E-01	5.32E-01	5.94E-01	5.92E-01
TCGA-UP-A6WW	9.69E-02	3.37E-01	2.92E-01	8.28E-01	7.16E-01	4.92E-01	7.63E-01	3.70E-01
TCGA-WA-A7GZ	1.48E+00	1.37E+00	7.77E-01	1.18E+00	1.50E+00	1.21E+00	1.50E+00	1.34E+00
TCGA-WA-A7H4	4.44E-01	4.06E-01	3.67E-01	5.06E-01	4.53E-01	4.83E-01	5.96E-01	5.00E-01
