Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-CV-7178	6.62E-01	7.33E-01	6.71E-01	1.23E+00	1.29E+00	1.08E+00	1.68E+00	9.05E-01
TCGA-CV-7180	2.88E-01	4.31E-01	5.42E-01	7.64E-01	8.84E-01	7.29E-01	6.22E-01	6.42E-01
TCGA-CV-7183	1.49E-01	4.89E-01	6.51E-01	7.23E-01	6.40E-01	5.95E-01	7.19E-01	3.02E-01
TCGA-CV-7235	8.69E-01	8.12E-01	8.79E-01	9.12E-01	1.13E+00	1.27E+00	1.29E+00	1.11E+00
TCGA-CV-7236	1.41E-02	5.58E-01	3.24E-01	9.60E-01	8.67E-01	3.07E-01	8.39E-01	1.73E-01
TCGA-CV-7238	3.16E-01	4.65E-01	2.84E-01	6.99E-01	6.66E-01	3.09E-01	7.13E-01	3.07E-01
TCGA-CV-7242	1.00E+00	7.97E-01	2.89E+00	1.11E+00	2.23E+00	3.65E+00	1.59E+00	1.34E+00
TCGA-CV-7243	4.45E-01	6.30E-01	2.21E-01	9.37E-01	7.60E-01	7.11E-01	9.77E-01	5.49E-01
TCGA-CV-7245	1.31E+00	1.50E+00	4.57E+00	1.57E+00	3.43E+00	5.10E+00	3.22E+00	2.37E+00
TCGA-CV-7247	4.28E-01	5.10E-01	4.48E-01	6.30E-01	1.08E+00	8.75E-01	5.74E-01	6.89E-01
TCGA-CV-7248	7.63E-01	8.60E-01	2.70E+00	6.24E-01	1.62E+00	2.96E+00	1.86E+00	1.01E+00
TCGA-CV-7250	4.89E-01	1.03E+00	1.60E+00	1.32E+00	1.68E+00	1.64E+00	1.68E+00	8.21E-01
TCGA-CV-7252	1.68E+00	1.67E+00	8.96E-01	2.11E+00	2.52E+00	1.67E+00	2.03E+00	8.90E-01
TCGA-CV-7253	4.66E-01	8.93E-01	1.38E+00	1.20E+00	1.71E+00	1.55E+00	1.70E+00	1.36E+00
TCGA-CV-7254	8.40E-01	7.88E-01	2.70E+00	8.68E-01	1.53E+00	3.06E+00	1.79E+00	1.07E+00
TCGA-CV-7255	3.49E-01	5.50E-01	8.78E-01	1.19E+00	1.25E+00	8.28E-01	1.08E+00	6.50E-01
TCGA-CV-7261	5.71E-01	6.36E-01	7.12E-01	1.09E+00	8.83E-01	8.05E-01	1.24E+00	5.79E-01
TCGA-CV-7263	2.33E-01	8.81E-01	4.64E-01	1.16E+00	1.52E+00	9.72E-01	1.45E+00	1.13E+00
TCGA-CV-7406	3.45E+00	3.42E+00	4.86E-01	1.10E+00	8.08E-01	7.78E-01	1.27E+00	5.46E-01
TCGA-CV-7407	5.60E-01	7.62E-01	4.95E-01	9.77E-01	1.07E+00	1.07E+00	1.28E+00	9.64E-01
TCGA-CV-7410	4.07E-01	3.35E-01	1.99E-01	1.90E-01	2.59E-01	2.14E-01	3.10E-01	1.33E-01
TCGA-CV-7411	8.20E-01	7.88E-01	1.01E+00	8.91E-01	1.09E+00	1.06E+00	1.01E+00	7.01E-01
TCGA-CV-7413	4.74E-01	7.11E-01	4.98E-01	9.46E-01	8.28E-01	4.85E-01	9.34E-01	2.51E-01
TCGA-CV-7414	2.13E+00	2.37E+00	6.80E-01	1.27E+00	1.45E+00	1.57E+00	1.35E+00	1.21E+00
TCGA-CV-7415	7.86E-01	7.09E-01	3.86E-01	8.05E-01	7.69E-01	6.32E-01	8.12E-01	5.61E-01
TCGA-CV-7416	5.17E-01	6.11E-01	2.94E-01	9.77E-01	7.99E-01	6.10E-01	7.68E-01	1.34E-01
