patient_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
TCGA-DQ-5625	57.40277298117148	12.534578753850752	-12.364468548428176	-8.583861910336779	6.249988637683103	-10.650234449440248	-9.773155634385546	-8.710868659846014	-11.876763773745253	0.07964312532724982	5.473879572325117	5.307449179038714	3.8909949762639613	6.330083848106703	-5.009027896110917	-7.885168592594104	-5.044806763978023	-3.15617332510908	3.7934721383240255	6.990630013769632	-6.276257925456868	7.6182331551433755	-6.337951543403541	-9.21204043094528	4.409999937412705	4.123510014419769	-7.281567388852038	-1.8344761313844273	3.182188480795082	-1.9450018166347185	-1.8699289175057334	-4.6193617452234825	0.3666544388793618	1.4740221348097435	-2.1033600990016055	-1.5094508425067517	-0.8948869271612168	-1.723013285096922	-0.4124554118918198	-2.494964270179615
TCGA-CV-6956	27.9961046117768	17.0506275771327	0.06488848388554125	-10.638153871537412	-25.49463662484	8.254441010938095	-15.769212871339235	13.685947450240803	-5.884615013469997	3.7148865381880984	-7.225348587199747	5.578754977030684	1.1529598050753123	-3.056272438388323	5.3415867412425815	2.1262889088732084	10.051517152728294	3.1714867037710732	-5.660443060371591	-0.16002348712986247	1.7981218304927609	1.3047302088783397	-0.04330147870667389	0.6228278661925088	-8.927964738326414	-4.141697247981262	-7.217765500576133	-1.7582740825041796	0.5636523265442275	-2.6058033647407104	-1.8829873457858755	-4.78235765529945	3.1905769474289682	2.6164676745241167	-6.325822176023884	1.6684128415845052	-0.04387692482900718	-0.9149490518038625	2.5116872359609346	-5.679987613373285
TCGA-CV-7250	-25.969790380950897	8.837038715732177	17.58053274070722	-10.43029511488615	-7.345048045573506	-8.77984556622387	-10.612032282557244	6.945576409249469	3.487698151934893	-4.011267315037811	-12.18689261890168	7.660868718573801	1.4111888037397975	-7.88163923756122	-8.270703013991366	-7.427289194828278	-5.999028911469619	5.917409501438776	-6.8964517708117015	-7.295500781067496	6.820035464118085	14.985844161609378	-5.454423861308506	4.823197101565334	1.783538140432194	1.251650989291588	5.713203271474262	-6.940326052440916	0.21910181724121536	10.049630617353454	-1.9370188684300214	-1.0909189441112304	3.4980571881701126	0.8487217538802696	-2.43359533496937	4.25361719352918	1.2688753885419217	-1.0462412893110962	3.8659959749284134	1.6493498431913203
TCGA-BA-6872	-21.42544823700105	3.1036897625243967	-20.780956849620047	17.195466291501504	8.532031932336167	21.31210206281824	2.8578134441406746	-4.308063656559128	-9.154298821370958	-1.450205059542693	1.433662886128701	-1.6812737707675014	-4.850033722349963	-2.8677742588312256	-12.519849052496106	-2.999344037402574	5.01633686439019	0.045714244719263775	5.530532876915673	-2.3807655676044135	-2.490565599468063	-5.816453682308897	3.268765740847037	-1.1331156764138086	5.6233782438809445	4.246523603857347	-1.5013272443528471	-4.905700166376825	3.800209329891869	3.9400432160270533	3.656152724688332	0.6821779753441106	3.6214534197570094	0.8542580522360907	-8.233720610691552	-1.6615057427801503	-1.5865962509306684	-1.7119329602679745	-1.2148344902121018	-0.6460276231405686
TCGA-CV-A6JZ	-12.034730103698912	-17.04534208796406	-27.368680849033304	2.8776592050263616	20.207159585719324	-9.356128709833015	10.246727277120556	-4.09680288248687	-13.254285587591397	-4.976348954250869	4.220998261668015	7.318102714425518	5.854312458973393	-11.174322232510786	-1.9378653118826055	1.5743020585185246	5.918719870947477	3.191299858931231	1.8978150522312731	-7.967698613042728	-2.638764441190226	-3.3789420299568533	1.978217689409746	3.7826538668498486	-0.7261283476259266	-4.5158171406314045	-4.446757237345386	3.9092993428953804	9.805886289087098	-2.198816717788363	-1.1772771888838913	2.4392323396222864	-5.160660585389278	2.2722244985682494	-4.819804434063922	8.20835300956815	-1.009656499188452	-3.0110532273208683	2.2640901355190977	-3.835137326263858
TCGA-HD-8634	-1.0057187921834583	46.017800134357486	-0.4693711153041118	-5.0919407838773765	-3.1156404059633047	-13.013879462079288	-15.131746542186562	-0.6616818173908143	12.75100821237588	-5.50808298404187	6.497373229942653	-9.449732632975117	8.329820283223611	5.196172946184685	4.654153659815526	-3.9741816405419126	-1.267789849781419	1.15174985647662	-4.231920323917219	-5.688624840272013	1.2711661995619679	-4.610349878398942	2.000863926073876	-0.0841125485821621	1.1891634459199976	2.5001327375201194	3.8330936945413807	1.477187551738261	-3.2171350141728237	-1.9286904895498367	5.51455718633409	-4.0560000259265685	0.2199077267447196	3.5495916241265775	0.4145748395458	1.1065282972421855	2.5087658861805835	-2.422504511496827	-1.0326522565827432	1.617640409206576
TCGA-CN-4734	-21.49715205281774	12.25250436800016	-27.65557120457519	15.57148498695554	4.730218239931148	-13.176698407853593	-0.887109969324257	-4.6813690650440805	4.4301275029220335	-10.162122482516487	-3.6848582174799276	1.2733876761158536	-2.809746722717982	-11.768292092966657	-7.294550230640658	-9.550360292538018	-0.6292704457347611	-0.4111013027653456	1.5775418372247536	5.340743853632802	-3.0570460701961153	0.3205238641490382	1.7108139076977054	1.498043044256974	3.1708930525776977	1.1740793518527388	1.1190915764212281	3.536706913764487	-3.0054697794585916	-2.8174593595630704	-1.0960332016701075	4.256519731740973	0.26028815126790317	3.374538233513462	-9.701980504733035	2.1817868675777135	7.372386584276946	0.20877219893896637	-3.133322774579849	-0.6694634397065791
TCGA-CQ-A4CB	-12.452588467487772	-34.4779100962909	-14.327096226826454	21.847797083456797	26.698386567303203	16.46269226532482	-12.473390425915234	2.5230248529806545	3.0261462189061916	-4.806922450545054	3.4661350340377766	3.743214696512002	-3.1195313681962418	-2.144829160656915	-9.17383921973696	-0.17539861304877213	0.5238559679507517	-4.003762480630677	-1.562164399764594	-0.9058953709593425	-5.145603420837688	-9.203893664135535	5.9629219702723155	-9.349504529535896	-6.065873997013162	-3.9350095023721527	-1.5605640789564301	3.0834564360235035	0.3520047923359275	6.128087269848795	2.6754498618360945	-6.94641679271119	2.0694392453917496	0.9632020610518737	-6.690948643057068	-2.2942481834547905	-8.260907715860377	2.3523727587315477	-5.149114766002796	-4.271384334758867
TCGA-CV-6935	6.246048040633966	-15.39766666457048	16.354973794714265	4.8647509175061	-22.2799558580696	8.207620060242036	11.057801897101399	-13.397613706899548	1.526750876668416	3.4245653324278695	2.419527327392828	-6.34425448463351	2.7379947480423468	-9.989488839971354	9.525548630519483	-1.4682181845818914	-3.4294734039636907	6.838797063590462	5.016249822842433	12.454604527506476	-1.7416649197908072	-3.3641191033244553	-5.810354357503428	2.318224053001309	-14.116964018099948	-3.9853014465084122	1.3216350858043917	-6.9141730063783555	2.3242031063281843	6.014292974625587	0.019895905858987817	6.151737920082773	-4.242395774968715	0.28529124284717966	-2.428646335922304	1.1918378896287436	-3.7252724242058264	3.6480680398775434	4.0722503547491655	3.275567936604631
TCGA-D6-A4Z9	16.101905357565954	17.96261694474805	-8.728191180571269	-0.3342971947936775	-6.921862271719732	-3.1063914307368776	-11.278028831852474	2.4935315639552726	0.03881164671493309	-1.1426795804083891	-3.7457487263645817	-0.5786375753495907	-2.5288921561534323	-2.268570070277935	-1.7005833122467404	6.12602462648791	8.504952221843652	-5.114218300546703	-0.7674556710185279	2.1990734193066714	0.8816308912875144	-7.733688565701968	-3.7927277168716884	1.320294809751708	1.0593880291738995	-4.18404317350771	2.671562638995818	5.073060716395794	-7.189305388210281	-2.3020436928564276	3.5157225811066963	-3.1067093835853363	-5.210940892399407	-3.919056617293279	-0.17294204214668074	2.0585058684272184	1.7487447862744077	0.2943605498713602	3.8158582351727475	-3.320147546750242
