feature	coef	exp(coef)	zscore	p	lower 95%	upper 95%	q
PGK1|5230	0.578554524174349	1.7834586203507121	4.947260487219497	7.52652268148005e-07	1.418142145131845	2.2428814074963923	0.00150530453629601
IGJ|3512	-0.09633286051710856	0.9081616745881053	-3.9482591821783695	7.872155094807717e-05	0.8657547001624837	0.9526458557324404	0.031488620379230864
EFNB2|1948	0.304617240837401	1.3561058417193206	4.08337861720231	4.438561822252677e-05	1.1716409334929139	1.569613182139978	0.031488620379230864
MORF4L2|9643	0.6445097398967624	1.905052828893481	3.970968746590837	7.158097012993221e-05	1.3859654426411399	2.618554668981562	0.031488620379230864
HK1|3098	0.5140741654796622	1.6720897065726728	4.00822600576011	6.117656107298358e-05	1.3004357564942255	2.1499593292970958	0.031488620379230864
SPOCK2|9806	-0.16917295138414065	0.8443628570320982	-3.670418018121238	0.00024215412885325574	0.7714298801872803	0.924191106212174	0.06918689395807306
PFKM|5213	0.3297208567088905	1.390579903230328	3.7084683123790145	0.0002085167482101682	1.1681951635672785	1.6552991551198992	0.06918689395807306
CALML5|51806	-0.07669303258163628	0.9261741152518457	-3.5529015073595924	0.0003810070895721287	0.8878070277726968	0.9661992583169315	0.09525177239303216
STIP1|10963	0.4517674137333856	1.5710864929373944	3.4377353698617386	0.0005866006666099428	1.2143393907216191	2.0326383111261266	0.09781512382798004
CHGB|1114	0.06646809057700376	1.0687268610735954	3.4385605126951604	0.0005848158158139743	1.0289939514150048	1.1099939917135306	0.09781512382798004
TMBIM6|7009	0.6769323934374095	1.9678319297579985	3.437601487385823	0.0005868907429678802	1.3377329298009277	2.8947201773311706	0.09781512382798004
FXR1|8087	0.41727328237793815	1.5178172489695527	3.455087291814477	0.0005501146846478801	1.1978964690205258	1.923178889702551	0.09781512382798004
TPP1|1200	0.39296479191606415	1.4813662323444479	3.349876018313334	0.000808477390665072	1.1770917509775847	1.864294701333077	0.10790569286129849
PLOD2|5352	0.2204247460601523	1.246606109187124	3.3495968077205736	0.0008092926964597386	1.0957583345008512	1.4182203707997005	0.10790569286129849
ADAM6|8755	-0.07801863823657595	0.9249471869983908	-3.3723641304171608	0.0007452584703610257	0.8839437758083298	0.9678526193070279	0.10790569286129849
FCGBP|8857	-0.11346896963802547	0.8927318977753254	-3.3300752691645967	0.0008682251053086757	0.8350591038606503	0.9543878243120472	0.10852813816358445
SURF4|6836	0.5068762374501712	1.6600973370893102	3.2247989993918567	0.0012606114188541484	1.2199473252577402	2.2590509537194734	0.12157752144321644
GPR56|9289	0.326832261560323	1.3865688767729383	3.246262268556261	0.0011693106248217258	1.1382636043314787	1.689040432039929	0.12157752144321644
LASP1|3927	0.5476668969174947	1.729213873610818	3.221196931743104	0.0012765639751537727	1.239160869036409	2.4130689528740055	0.12157752144321644
C4orf7|260436	-0.06168236914933155	0.9401814700090595	-3.2575790069861825	0.0011236697355656883	0.9059289897485706	0.975729010276758	0.12157752144321644
PFKP|5214	0.31472363168441375	1.369880667024314	3.2350470191182956	0.0012162270050313788	1.132069386957821	1.6576484299516687	0.12157752144321644
