Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-CQ-5325	0	7	0	0	13	12	13
TCGA-CQ-5326	123	59	4	29	0	13	22
TCGA-CQ-5327	98	118	0	42	0	0	0
TCGA-CQ-5329	0	1	3	16	0	8	3
TCGA-CQ-5330	0	9	1	25	0	11	16
TCGA-CQ-5331	86	48	6	11	0	5	0
TCGA-CQ-5332	9	20	13	41	35	29	8
TCGA-CQ-5333	60	76	14	38	33	0	0
TCGA-CQ-5334	65	29	6	50	30	0	7
TCGA-CQ-6218	36	34	14	38	3	0	25
TCGA-CQ-6219	15	4	0	13	3	3	17
TCGA-CQ-6220	43	8	9	35	0	6	17
TCGA-CQ-6221	58	11	0	6	37	0	9
TCGA-CQ-6222	1	2	7	24	0	8	4
TCGA-CQ-6223	4	1	16	31	10	34	0
TCGA-CQ-6224	0	7	0	31	13	3	4
TCGA-CQ-6225	23	2	17	24	37	4	39
TCGA-CQ-6227	9	0	6	25	0	6	1
TCGA-CQ-6228	7	3	4	12	17	43	20
TCGA-CQ-6229	0	1	5	15	0	8	0
TCGA-CQ-7063	61	21	0	30	20	0	10
TCGA-CQ-7065	0	7	0	8	3	13	2
TCGA-CQ-7068	24	29	5	31	0	28	0
TCGA-CQ-7069	72	12	0	3	0	15	1
TCGA-CQ-7071	321	164	17	3	0	23	0
TCGA-CQ-7072	2	9	25	6	0	48	34
TCGA-CQ-A4C6	40	23	4	20	10	24	5
TCGA-CQ-A4C7	0	16	1	7	6	6	11
TCGA-CQ-A4C9	12	13	7	26	0	21	12
TCGA-CQ-A4CB	14	16	0	14	0	30	19
TCGA-CQ-A4CD	95	5	11	35	12	0	8
TCGA-CQ-A4CE	5	4	0	21	16	19	0
TCGA-CQ-A4CG	1	12	15	24	33	7	0
TCGA-CQ-A4CH	0	0	0	1	0	3	2
TCGA-CQ-A4CI	10	3	17	42	32	14	2
TCGA-CR-5243	16	5	3	22	13	8	0
TCGA-CR-5247	1	5	7	24	9	0	29
TCGA-CR-5248	130	138	0	32	15	20	4
TCGA-CR-5249	4	5	3	15	0	0	6
TCGA-CR-5250	1	5	6	10	6	0	15
TCGA-CR-6467	3	5	0	23	0	20	3
TCGA-CR-6470	3	5	0	20	0	4	4
TCGA-CR-6471	0	16	15	46	21	22	28
TCGA-CR-6472	337	192	12	0	0	0	0
TCGA-CR-6473	21	27	1	36	8	4	6
TCGA-CR-6474	23	7	7	2	34	16	13
TCGA-CR-6477	6	14	6	9	0	16	27
TCGA-CR-6478	2	66	0	0	0	47	13
TCGA-CR-6480	36	83	0	6	0	0	0
TCGA-CR-6481	197	340	0	0	0	0	0
TCGA-CR-6482	8	5	1	11	5	13	0
TCGA-CR-6484	173	68	3	21	0	0	4
TCGA-CR-6487	42	38	0	46	0	16	0
TCGA-CR-6488	0	4	4	15	6	5	0
TCGA-CR-6491	3	12	8	22	12	17	54
TCGA-CR-6492	4	13	0	6	0	0	15
TCGA-CR-6493	2	3	1	8	22	0	0
TCGA-CR-7364	27	27	276	59	0	55	83
TCGA-CR-7365	98	41	6	4	28	16	6
TCGA-CR-7367	8	22	36	39	8	41	24
TCGA-CR-7368	80	63	1	18	0	21	26
TCGA-CR-7369	3	14	21	14	0	8	22
TCGA-CR-7370	60	56	365	55	25	34	20
TCGA-CR-7371	99	21	115	28	0	22	22
TCGA-CR-7372	0	1	5	23	21	0	0
TCGA-CR-7373	47	20	0	28	30	0	0
TCGA-CR-7374	72	54	150	19	4	41	22
TCGA-CR-7376	13	0	0	15	0	6	3
TCGA-CR-7377	7	23	0	26	0	29	33
TCGA-CR-7379	10	19	12	55	16	39	1
TCGA-CR-7380	2	10	8	62	10	0	3
TCGA-CR-7382	16	10	0	30	7	0	8
TCGA-CR-7383	3	9	18	28	33	16	26
TCGA-CR-7385	9	8	0	2	7	15	0
TCGA-CR-7386	102	70	0	13	3	0	0
TCGA-CR-7388	184	78	273	17	125	22	0
TCGA-CR-7389	0	0	2	16	0	42	28
TCGA-CR-7390	31	23	0	19	64	0	17
TCGA-CR-7391	1	0	0	1	0	0	0
